['Uzaylı Avcısı Odin', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['4. Seviye RGX 11z Pro Stinger', '6a538b3d-4a6c-933d-6b01-d0a20b8ab5bb']
['5. Seviye RGX 11z Pro Stinger', '7dd59c7b-4ca4-1638-4a10-cb998d6b84c8']
['ARİSTOKRAT STINGER', 'df37b069-48b2-0a7c-78ea-5b8eedc684f7']
['KIRMIZI ALARM STINGER', 'cd9beda3-4042-d79e-6d46-4daa61484362']
['Kaosun Başlangıcı Stinger', '5611fa1c-45bb-6c46-73cd-209031e72524']
['2. Seviye Kaosun Başlangıcı Stinger', 'a8e8fc20-498e-b869-3858-d3802af9c4b8']
['3. Seviye Kaosun Başlangıcı Stinger', '281add0f-4b05-aa0e-0d98-e491d72b0a1f']
['4. Seviye Kaosun Başlangıcı Stinger', '9bbb7ff3-4681-f961-a880-819fa2fd813a']
['Karikatürize Stinger', '0a6790a2-4ddf-56aa-26e4-44b45d050060']
['2. Seviye Karikatürize Stinger', '082de448-49d3-d65d-e9c0-17949cd33422']
['Elektro Stinger', '77d5c1dc-4dde-539c-3a5a-0a95eecba1e4']
['Simli Stinger', '2c6fa705-433a-5f9e-294b-b39eef964b8c']
['.SYS Stinger', '50e072a5-4f30-63a9-6dee-a8b33781269f']
['Prizma II Stinger', 'b5f7b00a-4c4b-a3d5-d2cc-fbb62c482ef6']
['ÖZEL TASARIM STINGER', '84a414f6-4fe4-98ff-8d4e-b5866894c436']
['SILVANUS STINGER', 'd547c575-4572-9d77-42e5-bea022e5f07b']
['Şenlik Stinger', 'fed9c3f3-40a5-da67-4ac9-4683cc5a0eba']
['Rasgele Favori Kaplama', 'caea8844-4603-951f-c458-25a04a778bf8']
['SAKURA STINGER', 'e2c84381-4fa6-29b4-37b9-21bba8ae24bf']
['Şematik Stinger', '0329743b-4ce8-be9f-b531-f4aadc890287']
['Gümüş Avcı Stinger', '7ffbef55-4108-945e-6bc9-7b897f386d1b']
['Fatih Stinger', '9bc535dd-4d91-3421-2cd0-7a8fdad3478b']
['2. Seviye Fatih Stinger', '1a8d4093-4e8f-dfe8-9412-e3955662f09c']
['3. Seviye Fatih Stinger', '5e5fd361-4954-2287-012f-f68f624fc879']
['4. Seviye Fatih Stinger', 'b17c1df5-412c-a9bc-fd65-e6afb421b13d']
['Süvari Stinger', '7b71fc11-4fa2-c84c-31ec-5eb5c3e3fff3']
['STINGER', '471fc2a5-47a7-5b12-2895-0899117d2f57']
['Sonik Patlama Stinger', '0cb2b7e5-465e-7ba6-7329-03be6690a31e']
['SUALTI STINGER', '6a1cd98a-4248-4b67-8ced-ac9c56fb4630']
['Ego Stinger', 'ca2f7bc0-4270-7f76-4623-8596a5584d06']
['Ahşap Stinger', 'd1e1f521-4c6b-a47d-6c02-f5a5de9dab48']
['809. Özel Kuvvet Bıçak', 'a2a5860a-4a34-8510-e067-93abc9f18e12']
['RGX 11z Pro Bıçak', 'a1762ed3-45bf-2dd5-776f-a18a33171e6f']
['2. Seviye RGX 11z Pro Bıçak', 'd67af30b-4b2a-b1e6-3ac2-6aba74b885d4']
['RGX 11z Pro Kelebek', '424ed674-47dd-0488-de93-6cb8e13d0b90']
['2. Seviye RGX 11z Pro Kelebek', '662449ea-4e5e-376a-6482-83b478355047']
['Uzaylı Avcısı Bıçağı', '8e9f610a-41ea-ff48-d102-c7a0e5614c84']
['2. Seviye Uzaylı Avcısı Bıçağı', 'ba8b620a-4a51-8ed6-d1a7-cb9a4b3d99bd']
['VALORANT GO! 1. Cilt Bıçak', '6e37a33a-416e-fcc0-ceb8-7784e18fbfe9']
['VALORANT GO! 1. Cilt 2. Seviye Bıçak', 'ec6b04b8-4cd4-5778-7aa9-269c029d8958']
["Yoru'nun Janti Kelebek Tarağı", 'ec70c8c8-48db-b2dc-ab7d-1d9410b0cfbf']
["2. Seviye Yoru'nun Janti Kelebek Tarağı", 'da00cdf4-474d-960b-a011-f29d27403ff0']
['Yıldızbiçen', '4351b2ed-42a1-4d84-804b-2f8d695e5069']
['2. Seviye Yıldızbiçen', '0adbfaf4-4cd0-3688-9d37-ffad95bc36b7']
['Neptün Çapa', '85db497e-4b7d-dd9d-bc09-6d926158ed74']
['2. Seviye Neptün Çapa', 'f7f58211-4a5c-b514-e933-acb5fb77e6b2']
["Gaia'nın Hiddeti", 'f353f65b-4764-cfc5-df01-8db85ab28199']
["2. Seviye Gaia'nın Hiddeti", '9d399e15-452f-1880-9cc1-c79b04c862fe']
['Waveform', 'f58e7da3-4567-707f-cb1e-3a9add422481']
['2. Seviye Waveform', 'fe57fe97-4b0b-4a97-3050-2eb0a236f564']
['Obsidiyen', '3f5b498c-4ca1-b441-4433-a186e4ae2054']
['Champions 2021 Karambit', '470e2855-4b86-f62d-258f-4588056a7b23']
['2. Seviye Champions 2021 Karambit', '5f991913-44c1-ba78-9547-5d8de87f04c2']
['3. Seviye Champions 2021 Karambit - Oyuncu oyundaki en fazla skoru aldığında silahın haresi açılır.', '250ff684-42e9-108d-4722-a9a3ac8733e6']
['Champions 2022 Kelebek Bıçak', 'ba0abff4-41e4-4036-980d-90a55837b692']
['2. Seviye Champions 2022 Kelebek Bıçak', '08caa8e3-47a6-e8b9-2411-56ad2182a140']
['3. Seviye Champions 2022 Kelebek Bıçak - Oyuncu oyundaki en fazla skoru aldığında silahın haresi açılır.', '781ee669-4036-0481-c1a5-1881df718881']
['Köken Hilal Bıçak', '5f059d7e-413c-445c-e36f-9a9791fba5b0']
['2. Seviye Köken Hilal Bıçak', '2bca8df3-4e1f-bdd4-9a33-8bbc51c2cfb7']
['Hücum Bıçağı', '21d49b4a-49ce-79f9-4e08-67959f8d17b5']
['Radyant Krizi 001 Beyzbol Sopası', '30de237a-4fb3-90f5-3630-65be64d01423']
['2. Seviye Radyant Krizi 001 Beyzbol Sopası', '11a7dfd4-4fc9-a806-6b20-fda57c1aa331']
['NEBULA BIÇAK', '88d7c503-477f-c881-af2c-53bbab55807c']
['Bıçkın', '4875e120-4d7d-aa2a-71c5-c0851c4af00d']
['Bıçkın ve Bitirim', 'bde59d0e-4ddc-aa88-5c37-50a84673e0ed']
['Delipop Hançer', '48ce4a70-4207-623b-4739-bfb937812432']
['2. Seviye Delipop Hançer', '29bd8b5b-4d19-b6af-70c3-4797c0482e1c']
['Delipop Balta', 'f27623a6-40de-20b9-17b5-c5bed27453a7']
['2. Seviye Delipop Balta', '3d6a7e42-4f6b-ee22-fa38-6cb370c93943']
['Zamanın Kökeni', '96fe45cd-448d-890f-f3f6-86b25516c1a0']
['2. Seviye Zamanın Kökeni', '4840c1fc-4570-d487-1dff-68977a0d6e67']
['Vurgun', '901425cd-405a-d189-3516-ba954965e559']
['Kaosun Kılıcı', 'd6b75f1b-409b-bae9-d378-d3adf04a3ca9']
['2. Seviye Kaosun Kılıcı', '02f5a8ee-4f2f-cc11-f59c-a0bf0c488ee6']
['Ejder Ateşi Hançer', 'f3594bcc-43a9-4a74-8c40-98a4e4a4569a']
['2. Seviye Ejder Ateşi Hançer', 'ef028ac5-40a2-bc8e-582b-c4abf4ed0ef3']
['Anomali Bıçak', 'ea441610-42da-e46f-8d7b-1b9759c105cd']
['2. Seviye Anomali Bıçak', '34cdb942-4829-edbf-63ce-bfb3d993bdd1']
["Serket'in Bıçağı", 'ed0080a9-4d77-d279-5a5c-f2bdb630307d']
["2. Seviye Serket'in Bıçağı", 'a58b52ec-454d-1222-289b-6398e704c18f']
['ŞAKIYANÇELİK', 'e701b267-43bb-7862-cebb-9695590b68ac']
['KOLEKTİF KILIÇ', '1dc43c70-4dec-a8e6-e9fa-cda0033cc041']
['Hız Tutkunu Bıçak', '63991095-4963-33ba-339f-50b69eb88fe1']
['Yitik Ritüel Bıçağı', '5fecfd43-4bec-4e6a-842c-84860853df82']
['2. Seviye Yitik Ritüel Bıçağı', 'a4d6c040-49cb-bb04-b9c1-879d0037132c']
['Hızlı ve Ölümcül Karambit', 'c01062ab-48ed-11a2-46bb-dba096daca59']
['ALTIN AFET HANÇER', '726b77c9-41c3-80c6-f33e-068b9f74ef56']
['.SYS Yakın Dövüş', '9d9ec56d-4973-3531-64f5-6d8eb2beb0a2']
['Ruh Azabı Tırpan', '656c5de8-47ca-4eeb-6051-c9aabbf37baa']
['2. Seviye Ruh Azabı Tırpan', '67761e2f-4ce9-edd9-683f-1fa1ab5d5761']
['ASİL BALTA', '249b0e46-4a11-f045-51bb-649151cd802a']
['2. Seviye Asil Balta', 'df1ace24-4acb-e615-24eb-6e95b7e44dc5']
['Asil//2.0 Karambit', '167481de-4732-b44a-06ad-938625015abe']
['2. Seviye Asil//2.0 Karambit', 'a3c2dd26-4705-8e42-cce1-6bae0236ac7a']
['Karakol Yakın Dövüş', '3a1ec58c-4380-0622-7fde-c1936519fcf2']
['PRİZMA BIÇAK', '7cf3af0b-4556-a0db-2e04-eea4368b354b']
['Prizma III Balta', '56f387f3-4b88-46b0-ee0d-249145f05d26']
['Mahvolmuş Kralın Kırık Kılıcı', 'e94012b1-4a22-63d2-117e-90a2c1375ded']
['Mahvolmuş Kralın Kılıcı', 'd0b5fbd7-43ef-d2bc-80ca-66b23c7a1d47']
['KINGDOM BIÇAK', '8c2e0f93-4277-fbb8-20c6-e2b2638b6ed4']
['K/TAK BIÇAĞI', 'a17e9fcc-4081-9b5a-cf63-fca395e652df']
['Denge', 'ef67d6cb-4f7f-28ce-2973-cf90a97ae54d']
['2. Seviye Denge', '99a21016-41bf-2dfe-43e6-6f9ffe50d8c0']
['FLAŞ BIÇAK', 'b6768f01-4d72-f0f1-65b5-71b751536490']
['Catrina', 'dc5e3cfc-466a-4819-e93b-2ba5f1847915']
['İridyum Bıçağı', '9464eca6-4ba2-adaa-a57a-d78eb0b38696']
['Semavi Yelpaze', '7302d465-46cd-2a43-655f-93aee59030db']
['2. Seviye Semavi Yelpaze', 'ee4add11-4b78-250e-742a-fcbeca66ab05']
['GÖSTERİŞLİ BIÇAK', 'e57317ac-4a93-50a9-30e9-93a098513fa9']
['Sihirpunk Elektrobıçak', 'c1326ee3-47af-d823-6686-618e1bcdf0c6']
['2. Seviye Sihirpunk Elektrobıçak', 'aec017e4-4500-acbf-56a5-b58ba2028e53']
['Sihirpunk Şok Eldiveni', 'c5ec6a47-40c2-66ed-d546-5bad1eef6fd5']
['2. Seviye Sihirpunk Şok Eldiveni', '4379ef43-451a-a1eb-7c69-919abaff068b']
['Sarmal Hançer', 'd6e93360-46a2-0103-afa0-8b91e78b6fe8']
['Kızıl Musibet Çekiç', '5a27fbea-4f1d-62f9-8e5f-f494b4f0d322']
['2. Seviye Kızıl Musibet Çekiç', 'ba4bb49f-4494-4698-8d5f-e5952c92604b']
['Başlangıç Muşta', 'a080b538-4593-b092-d29c-04b80e6e983f']
['İyon Enerji Kılıcı', '21ceb4b1-480f-dddb-1422-8aad73519181']
['2. Seviye İyon Enerji Kılıcı', '24a079a6-4194-0008-bd1c-a980889bb912']
['İyon Karambit', 'a45e899f-459d-469b-dc8f-8da5c0546bf0']
['2. Seviye İyon Karambit', '4b418533-4b77-c755-e471-79902c74928b']
['Oni Pençe', 'e34039b6-441d-3e17-2773-bdaf5c3d2faa']
['2. Seviye Oni Pençe', '444af7a1-46d4-6139-a4b4-66b3112bd37b']
['Soğuk Çekiç', '5629ead8-442c-9a31-9622-cd9bf93aec4b']
['2. Seviye Soğuk Çekiç', '1ffe6891-4900-2431-ba2e-fd8460a86dd1']
['Artizan Flöre', '704a71ab-4b0e-6e03-466e-5b9ca9d987fd']
['Bireysel İdari Yakın Dövüş Birimi', '47897cd1-49e2-da3f-4a8f-b6a1e84b0dd0']
['2. Seviye Bireysel İdari Yakın Dövüş Birimi', 'ba14e527-4dd2-6b91-69a7-03a3395665f8']
['3. Seviye Bireysel İdari Yakın Dövüş Birimi - Yerelleştirilmiş seslendirmeler bölgende farklılık gösterebilir', '692e49fb-4a3e-6991-8e58-838498758939']
['Ay Yadigârı', '278e57d8-4abd-57b9-394b-abb8b48c1cd3']
['2. Seviye Ay Yadigârı', 'cbd9f020-4ee9-d9a5-d57a-9f9f9166717c']
['Rasgele Favori Kaplama', '059c9307-4d19-00f3-c0e5-49b8bc66bd40']
['Yerçekimsel Uranyum Nöroateşleyici Sopa', '3710f62c-4e0c-65fd-848d-8da25d2fb833']
['2. Seviye Yerçekimsel Uranyum Nöroateşleyici Sopa', '7ef7ed92-463e-2e0c-859f-b88de57f2fb4']
['Kar Diyarı Asası', '155ba654-4afa-1029-9e71-e0b6962d5410']
['Işık Muhafızları Yadigârı', '315e8e49-4dc4-9769-2382-3ba5f7af87da']
['2. Seviye Işık Muhafızları Yadigârı', '19a14e33-4597-412e-ed84-489113968a58']
['Yağmacı Bıçak', 'd7a02a43-47a5-556c-a69f-ec9cf6ede66d']
['2. Seviye Yağmacı Bıçak', '20f6764c-4561-0152-e8a1-e2a75deb1872']
['Yağmacı Karambit', '5ac106cd-45ef-a26f-2058-f382f20c64db']
['2. Seviye Yağmacı Karambit', '84d08ce6-468c-b95b-9bbb-408dcdcee76f']
['FATİH KILIÇ', '90fe45d6-41ea-1c49-8fb9-46b0e98c0077']
['2. Seviye Fatih Kılıç', '5e7f5d27-46ca-abd5-72d8-ecbb413ec217']
['Refah', '12dce8f5-42fe-87c6-ef37-8aa4e55f1f64']
['Refah ve Çöküş', '5593f2d7-43ce-9c78-16ad-ab9d9330a459']
['Özel Harekât Kelebek', 'e85cf8b6-467b-bc6c-9013-959383f71b2e']
['2. Seviye Özel Harekât Kelebek', '6e6f577b-4a04-07d2-47f3-ec8cd4a684da']
['Demirdiken Topuz', '4745ba48-4d62-b01c-9cb9-48848fec9b66']
['2. Seviye Demirdiken Topuz', '9acc22e7-4457-f294-0861-6bbeecb46316']
['STANDART YAKIN DÖVÜŞ', '854938f3-4532-b300-d9a2-379d987d7469']
['Kaplan Dişi', 'd3a228df-4eb5-09c4-0e32-93b50c9ec842']
['Ego Bıçak', '5bf17117-4ead-a0a8-2961-288d38985e93']
['BlastX Polimer Knifetech Kaplamalı Bıçak', '708abbc6-4579-4452-4293-07ba45e78979']
['2. Seviye BlastX Polimer Knifetech Kaplamalı Bıçak', 'fb180f74-460b-2a63-f3f3-0c9262c73c29']
['Kış Harikası Baston Şeker', 'b577585f-4171-19a1-2899-848460de8089']
