['異星獵人 奧丁', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['刺針', '471fc2a5-47a7-5b12-2895-0899117d2f57']
['音波衝擊 刺針', '0cb2b7e5-465e-7ba6-7329-03be6690a31e']
['海底迷情 刺針', '6a1cd98a-4248-4b67-8ced-ac9c56fb4630']
['無人之境 刺針', 'ca2f7bc0-4270-7f76-4623-8596a5584d06']
['漆面皮革 刺針', 'd1e1f521-4c6b-a47d-6c02-f5a5de9dab48']
['809特遣隊 小刀', 'a2a5860a-4a34-8510-e067-93abc9f18e12']
['RGX 11z Pro 直刀', 'a1762ed3-45bf-2dd5-776f-a18a33171e6f']
['RGX 11z Pro 直刀 等級2', 'd67af30b-4b2a-b1e6-3ac2-6aba74b885d4']
['RGX 11z Pro 螢光刃', '424ed674-47dd-0488-de93-6cb8e13d0b90']
['RGX 11z Pro 螢光刃 等級2', '662449ea-4e5e-376a-6482-83b478355047']
['異星獵人 小刀', '8e9f610a-41ea-ff48-d102-c7a0e5614c84']
['異星獵人 小刀 等級2', 'ba8b620a-4a51-8ed6-d1a7-cb9a4b3d99bd']
['特戰英豪 GO！第1集 小刀', '6e37a33a-416e-fcc0-ceb8-7784e18fbfe9']
['特戰英豪 GO！第1集 小刀 等級2', 'ec6b04b8-4cd4-5778-7aa9-269c029d8958']
['夜戮的時尚蝴蝶梳', 'ec70c8c8-48db-b2dc-ab7d-1d9410b0cfbf']
['夜戮的時尚蝴蝶梳 等級2', 'da00cdf4-474d-960b-a011-f29d27403ff0']
['異星霸主 生質收集器', '4351b2ed-42a1-4d84-804b-2f8d695e5069']
['異星霸主 生質收集器 等級2', '0adbfaf4-4cd0-3688-9d37-ffad95bc36b7']
['海洋星球 船錨', '85db497e-4b7d-dd9d-bc09-6d926158ed74']
['海洋星球 船錨 等級2', 'f7f58211-4a5c-b514-e933-acb5fb77e6b2']
['蓋亞之怒', 'f353f65b-4764-cfc5-df01-8db85ab28199']
['蓋亞之怒 等級2', '9d399e15-452f-1880-9cc1-c79b04c862fe']
['聲波刃', 'f58e7da3-4567-707f-cb1e-3a9add422481']
['聲波刃 等級2', 'fe57fe97-4b0b-4a97-3050-2eb0a236f564']
['黑曜權杖', '3f5b498c-4ca1-b441-4433-a186e4ae2054']
['2021冠軍賽 爪刀', '470e2855-4b86-f62d-258f-4588056a7b23']
['2021冠軍賽 爪刀 等級2', '5f991913-44c1-ba78-9547-5d8de87f04c2']
['2021冠軍賽 爪刀 等級3（在對戰中取得最多擊殺時才會顯示光環）', '250ff684-42e9-108d-4722-a9a3ac8733e6']
['2022冠軍賽 蝴蝶刀', 'ba0abff4-41e4-4036-980d-90a55837b692']
['2022冠軍賽 蝴蝶刀 等級2', '08caa8e3-47a6-e8b9-2411-56ad2182a140']
['2022冠軍賽 蝴蝶刀 等級3（在對戰中取得最多擊殺時才會顯示光環）', '781ee669-4036-0481-c1a5-1881df718881']
['起源 半月刃', '5f059d7e-413c-445c-e36f-9a9791fba5b0']
['起源 半月刃 等級2', '2bca8df3-4e1f-bdd4-9a33-8bbc51c2cfb7']
['閃電衝鋒 小刀', '21d49b4a-49ce-79f9-4e08-67959f8d17b5']
['輻能危機001 球棒', '30de237a-4fb3-90f5-3630-65be64d01423']
['輻能危機001 球棒 等級2', '11a7dfd4-4fc9-a806-6b20-fda57c1aa331']
['百變星雲 小刀', '88d7c503-477f-c881-af2c-53bbab55807c']
['銳斧', '4875e120-4d7d-aa2a-71c5-c0851c4af00d']
['銳斧與刺刀', 'bde59d0e-4ddc-aa88-5c37-50a84673e0ed']
['電幻普普 匕首', '48ce4a70-4207-623b-4739-bfb937812432']
['電幻普普 匕首 等級2', '29bd8b5b-4d19-b6af-70c3-4797c0482e1c']
['電幻普普 戰斧', 'f27623a6-40de-20b9-17b5-c5bed27453a7']
['電幻普普 戰斧 等級2', '3d6a7e42-4f6b-ee22-fa38-6cb370c93943']
['初始時界', '96fe45cd-448d-890f-f3f6-86b25516c1a0']
['初始時界 等級2', '4840c1fc-4570-d487-1dff-68977a0d6e67']
['海藍刃', '901425cd-405a-d189-3516-ba954965e559']
['混沌大劍', 'd6b75f1b-409b-bae9-d378-d3adf04a3ca9']
['混沌大劍 等級2', '02f5a8ee-4f2f-cc11-f59c-a0bf0c488ee6']
['至尊龍燄 匕首', 'f3594bcc-43a9-4a74-8c40-98a4e4a4569a']
['至尊龍燄 匕首 等級2', 'ef028ac5-40a2-bc8e-582b-c4abf4ed0ef3']
['奇點 小刀', 'ea441610-42da-e46f-8d7b-1b9759c105cd']
['奇點 小刀 等級2', '34cdb942-4829-edbf-63ce-bfb3d993bdd1']
['蠍女神之刃', 'ed0080a9-4d77-d279-5a5c-f2bdb630307d']
['蠍女神之刃 等級2', 'a58b52ec-454d-1222-289b-6398e704c18f']
['冷銀祕鋼', 'e701b267-43bb-7862-cebb-9695590b68ac']
['集志詭巢 長劍', '1dc43c70-4dec-a8e6-e9fa-cda0033cc041']
['流體效應 小刀', '63991095-4963-33ba-339f-50b69eb88fe1']
['棄王遺思 儀式刀', '5fecfd43-4bec-4e6a-842c-84860853df82']
['棄王遺思 儀式刀 等級2', 'a4d6c040-49cb-bb04-b9c1-879d0037132c']
['極速狂飆 爪刀', 'c01062ab-48ed-11a2-46bb-dba096daca59']
['哥德復興 匕首', '726b77c9-41c3-80c6-f33e-068b9f74ef56']
['.SYS 近戰武器', '9d9ec56d-4973-3531-64f5-6d8eb2beb0a2']
['靈爭鬪魂 鐮刀', '656c5de8-47ca-4eeb-6051-c9aabbf37baa']
['靈爭鬪魂 鐮刀 等級2', '67761e2f-4ce9-edd9-683f-1fa1ab5d5761']
['紫金狂潮 戰斧', '249b0e46-4a11-f045-51bb-649151cd802a']
['紫金狂潮 戰斧 等級2', 'df1ace24-4acb-e615-24eb-6e95b7e44dc5']
['紫金狂潮//2.0 爪刀', '167481de-4732-b44a-06ad-938625015abe']
['紫金狂潮//2.0 爪刀 等級2', 'a3c2dd26-4705-8e42-cce1-6bae0236ac7a']
['鐵色工哨 近戰武器', '3a1ec58c-4380-0622-7fde-c1936519fcf2']
['稜鏡 小刀', '7cf3af0b-4556-a0db-2e04-eea4368b354b']
['稜鏡III 戰斧', '56f387f3-4b88-46b0-ee0d-249145f05d26']
['殞落王者斷刃', 'e94012b1-4a22-63d2-117e-90a2c1375ded']
['殞落王者之劍', 'd0b5fbd7-43ef-d2bc-80ca-66b23c7a1d47']
['王國 小刀', '8c2e0f93-4277-fbb8-20c6-e2b2638b6ed4']
['K/TAC 小刀', 'a17e9fcc-4081-9b5a-cf63-fca395e652df']
['太極扇', 'ef67d6cb-4f7f-28ce-2973-cf90a97ae54d']
['太極扇 等級2', '99a21016-41bf-2dfe-43e6-6f9ffe50d8c0']
['機轟雷擊 小刀', 'b6768f01-4d72-f0f1-65b5-71b751536490']
['卡特里娜', 'dc5e3cfc-466a-4819-e93b-2ba5f1847915']
['虹鏡荊棘 半月刃', '9464eca6-4ba2-adaa-a57a-d78eb0b38696']
['天月耀春 摺扇', '7302d465-46cd-2a43-655f-93aee59030db']
['天月耀春 摺扇 等級2', 'ee4add11-4b78-250e-742a-fcbeca66ab05']
['稀土金屬 小刀', 'e57317ac-4a93-50a9-30e9-93a098513fa9']
['奇幻龐克 電漿劍', 'c1326ee3-47af-d823-6686-618e1bcdf0c6']
['奇幻龐克 電漿劍 等級2', 'aec017e4-4500-acbf-56a5-b58ba2028e53']
['奇幻龐克 電氣拳套', 'c5ec6a47-40c2-66ed-d546-5bad1eef6fd5']
['奇幻龐克 電氣拳套 等級2', '4379ef43-451a-a1eb-7c69-919abaff068b']
['百轉弧光 匕首', 'd6e93360-46a2-0103-afa0-8b91e78b6fe8']
['紅蓮猛獸 戰鎚', '5a27fbea-4f1d-62f9-8e5f-f494b4f0d322']
['紅蓮猛獸 戰鎚 等級2', 'ba4bb49f-4494-4698-8d5f-e5952c92604b']
['宇宙創始 弧刃', 'a080b538-4593-b092-d29c-04b80e6e983f']
['離子聖芒 能量劍', '21ceb4b1-480f-dddb-1422-8aad73519181']
['離子聖芒 能量劍 等級2', '24a079a6-4194-0008-bd1c-a980889bb912']
['離子聖芒 爪刀', 'a45e899f-459d-469b-dc8f-8da5c0546bf0']
['離子聖芒 爪刀 等級2', '4b418533-4b77-c755-e471-79902c74928b']
['惡鬼 利爪', 'e34039b6-441d-3e17-2773-bdaf5c3d2faa']
['惡鬼 利爪 等級2', '444af7a1-46d4-6139-a4b4-66b3112bd37b']
['深度凍結 衝擊起子', '5629ead8-442c-9a31-9622-cd9bf93aec4b']
['深度凍結 衝擊起子 等級2', '1ffe6891-4900-2431-ba2e-fd8460a86dd1']
['瓷藝匠心 鈍劍', '704a71ab-4b0e-6e03-466e-5b9ca9d987fd']
['個人近戰單位', '47897cd1-49e2-da3f-4a8f-b6a1e84b0dd0']
['個人近戰單位 等級2', 'ba14e527-4dd2-6b91-69a7-03a3395665f8']
['個人近戰單位 等級3：在地化語音可能會因地區而異', '692e49fb-4a3e-6991-8e58-838498758939']
['流光月刃', '278e57d8-4abd-57b9-394b-abb8b48c1cd3']
['流光月刃 等級2', 'cbd9f020-4ee9-d9a5-d57a-9f9f9166717c']
['隨機最愛造型', '059c9307-4d19-00f3-c0e5-49b8bc66bd40']
['重力鈾能神經爆破者 短棍', '3710f62c-4e0c-65fd-848d-8da25d2fb833']
['重力鈾能神經爆破者 短棍 等級2', '7ef7ed92-463e-2e0c-859f-b88de57f2fb4']
['魔幻冬雪 魔杖', '155ba654-4afa-1029-9e71-e0b6962d5410']
['哨兵聖武', '315e8e49-4dc4-9769-2382-3ba5f7af87da']
['哨兵聖武 等級2', '19a14e33-4597-412e-ed84-489113968a58']
['掠奪印象 小刀', 'd7a02a43-47a5-556c-a69f-ec9cf6ede66d']
['掠奪印象 小刀 等級2', '20f6764c-4561-0152-e8a1-e2a75deb1872']
['掠奪印象 爪刀', '5ac106cd-45ef-a26f-2058-f382f20c64db']
['掠奪印象 爪刀 等級2', '84d08ce6-468c-b95b-9bbb-408dcdcee76f']
['鎏金帝王 長劍', '90fe45d6-41ea-1c49-8fb9-46b0e98c0077']
['鎏金帝王 長劍 等級2', '5e7f5d27-46ca-abd5-72d8-ecbb413ec217']
['興盛', '12dce8f5-42fe-87c6-ef37-8aa4e55f1f64']
['興盛與衰亡', '5593f2d7-43ce-9c78-16ad-ab9d9330a459']
['偵察行動 蝴蝶刀', 'e85cf8b6-467b-bc6c-9013-959383f71b2e']
['偵察行動 蝴蝶刀 等級2', '6e6f577b-4a04-07d2-47f3-ec8cd4a684da']
['泰坦刺甲 錘矛', '4745ba48-4d62-b01c-9cb9-48848fec9b66']
['泰坦刺甲 錘矛 等級2', '9acc22e7-4457-f294-0861-6bbeecb46316']
['標準 近戰武器', '854938f3-4532-b300-d9a2-379d987d7469']
['虎頭刀', 'd3a228df-4eb5-09c4-0e32-93b50c9ec842']
['無人之境 小刀', '5bf17117-4ead-a0a8-2961-288d38985e93']
['咻咻X 聚合小刀科技塗層 小刀', '708abbc6-4579-4452-4293-07ba45e78979']
['咻咻X 聚合小刀科技塗層 小刀 等級2', 'fb180f74-460b-2a63-f3f3-0c9262c73c29']
['冬慶樂園 拐杖糖', 'b577585f-4171-19a1-2899-848460de8089']
