['Odin (Xéno-chasseur)', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
["Spectre (Neuroblaster d'uranium gravitationnel) niveau\xa02", '984fa47b-4c3f-cb2a-3fdb-098e342a52f3']
['Spectre (Pilleur)', '0a0237d3-4d57-0ed2-ab65-c898a7bc755b']
['Spectre (Pilleur) niveau\xa02', '3c7e7ebd-4b7f-f475-d714-47a52a116c82']
['Spectre (Pilleur) niveau\xa03', '88257dda-4c34-f3ca-4495-d6b9ebd6ddbf']
['Spectre (Pilleur) niveau\xa04', 'a8849563-498e-d080-85df-df891c878566']
['Spectre (Reconnaissance)', '613dd54a-4068-0fab-7670-bf8268a9b76b']
['Spectre (Reconnaissance) niveau\xa02', '2006e869-4d76-294f-c0a1-b3b2f27a4dc2']
['Spectre (Reconnaissance) niveau\xa03', 'dce5c9c1-4a73-659c-1fb9-96974974b151']
['Spectre (Reconnaissance) niveau\xa04', '5171a955-44db-5312-7d62-1398ef5c01cb']
['Spectre (Infini)', '52907a7c-4570-10d9-d2eb-8991bcfeb2ae']
['Spectre', '1dc45e18-4a07-c85f-0020-6da4db1486ce']
['Spectre (Tigre)', 'e041ba88-452e-d907-1a83-f6b7631cd053']
['Spectre (Convexe)', 'fbe265cf-4e3d-9891-791e-5089f1f7f102']
['Spectre (BlastX)', 'fdcb9cc0-4877-6f89-02ad-98ab330f3043']
['Spectre (BlastX) niveau\xa02', 'aa524ab2-4a87-81c1-2b07-ba8a5431ad0c']
['Spectre (BlastX) niveau\xa03', '2ece0224-4527-7b27-a7e4-b3bf5cef9532']
['Spectre (BlastX) niveau\xa04', 'db5e997e-4c4f-baac-3e84-5fafe19c97f2']
['Spectre (Terres désolées)', 'a83ac09d-4c19-fda6-8e4d-c1b77dc2b479']
['Stinger (Immortalisé)', '40243b02-4a32-d406-6b40-bc99e8a6fde2']
['Stinger (RGX 11z Pro)', '4dbeebb2-4b39-8aec-b639-00bc4948d0f3']
['Stinger (RGX 11z Pro) niveau\xa02', 'd9b56b1b-42b7-10bf-caf6-d594861916a9']
['Stinger (RGX 11z Pro) niveau\xa03', '0d146d58-43be-7cfc-d1f6-cb8441bf5c83']
['Stinger (RGX 11z Pro) niveau\xa04', '6a538b3d-4a6c-933d-6b01-d0a20b8ab5bb']
['Stinger (RGX 11z Pro) niveau\xa05', '7dd59c7b-4ca4-1638-4a10-cb998d6b84c8']
['Stinger (Aristocrate)', 'df37b069-48b2-0a7c-78ea-5b8eedc684f7']
['Stinger (Alerte rouge)', 'cd9beda3-4042-d79e-6d46-4daa61484362']
['Stinger (Prélude au chaos)', '5611fa1c-45bb-6c46-73cd-209031e72524']
['Stinger (Prélude au chaos) niveau\xa02', 'a8e8fc20-498e-b869-3858-d3802af9c4b8']
['Stinger (Prélude au chaos) niveau\xa03', '281add0f-4b05-aa0e-0d98-e491d72b0a1f']
['Stinger (Prélude au chaos) niveau\xa04', '9bbb7ff3-4681-f961-a880-819fa2fd813a']
['Stinger (Amis crayonnés)', '0a6790a2-4ddf-56aa-26e4-44b45d050060']
['Stinger (Amis crayonnés) niveau\xa02', '082de448-49d3-d65d-e9c0-17949cd33422']
['Stinger (Surtension)', '77d5c1dc-4dde-539c-3a5a-0a95eecba1e4']
['Stinger (Scintillement)', '2c6fa705-433a-5f9e-294b-b39eef964b8c']
['Stinger (.SYS)', '50e072a5-4f30-63a9-6dee-a8b33781269f']
['Stinger (Prisme\xa0II)', 'b5f7b00a-4c4b-a3d5-d2cc-fbb62c482ef6']
['Stinger (Couture)', '84a414f6-4fe4-98ff-8d4e-b5866894c436']
['Stinger (Silvanus)', 'd547c575-4572-9d77-42e5-bea022e5f07b']
['Stinger (Sensation)', 'fed9c3f3-40a5-da67-4ac9-4683cc5a0eba']
['Skin favori aléatoire', 'caea8844-4603-951f-c458-25a04a778bf8']
['Stinger (Sakura)', 'e2c84381-4fa6-29b4-37b9-21bba8ae24bf']
['Stinger (Schéma)', '0329743b-4ce8-be9f-b531-f4aadc890287']
['Stinger (Fléau des lycans)', '7ffbef55-4108-945e-6bc9-7b897f386d1b']
['Stinger (Royal)', '9bc535dd-4d91-3421-2cd0-7a8fdad3478b']
['Stinger (Royal) niveau 2', '1a8d4093-4e8f-dfe8-9412-e3955662f09c']
['Stinger (Royal) niveau 3', '5e5fd361-4954-2287-012f-f68f624fc879']
['Stinger (Royal) niveau 4', 'b17c1df5-412c-a9bc-fd65-e6afb421b13d']
['Stinger (Cavalier)', '7b71fc11-4fa2-c84c-31ec-5eb5c3e3fff3']
['Stinger', '471fc2a5-47a7-5b12-2895-0899117d2f57']
['Stinger (Rétrofuturiste)', '0cb2b7e5-465e-7ba6-7329-03be6690a31e']
['Stinger (Profondeurs)', '6a1cd98a-4248-4b67-8ced-ac9c56fb4630']
['Stinger (Ego)', 'ca2f7bc0-4270-7f76-4623-8596a5584d06']
['Stinger (Vernis)', 'd1e1f521-4c6b-a47d-6c02-f5a5de9dab48']
['Couteau (Force opérationnelle\xa0809)', 'a2a5860a-4a34-8510-e067-93abc9f18e12']
['Lame (RGX 11z Pro)', 'a1762ed3-45bf-2dd5-776f-a18a33171e6f']
['Lame (RGX 11z Pro) niveau\xa02', 'd67af30b-4b2a-b1e6-3ac2-6aba74b885d4']
['Luciole (RGX 11z Pro)', '424ed674-47dd-0488-de93-6cb8e13d0b90']
['Luciole (RGX 11z Pro) niveau\xa02', '662449ea-4e5e-376a-6482-83b478355047']
['Couteau (Xéno-chasseur)', '8e9f610a-41ea-ff48-d102-c7a0e5614c84']
['Couteau (Xéno-chasseur) niveau\xa02', 'ba8b620a-4a51-8ed6-d1a7-cb9a4b3d99bd']
['Couteau (VALORANT GO! Vol.\xa01)', '6e37a33a-416e-fcc0-ceb8-7784e18fbfe9']
['Couteau (VALORANT GO! Vol.\xa01) niveau\xa02', 'ec6b04b8-4cd4-5778-7aa9-269c029d8958']
['Peigne papillon stylé de Yoru', 'ec70c8c8-48db-b2dc-ab7d-1d9410b0cfbf']
['Peigne papillon stylé de Yoru niveau\xa02', 'da00cdf4-474d-960b-a011-f29d27403ff0']
['Moissonneur organique (Araxys)', '4351b2ed-42a1-4d84-804b-2f8d695e5069']
['Moissonneur organique (Araxys) niveau\xa02', '0adbfaf4-4cd0-3688-9d37-ffad95bc36b7']
['Ancre (Neptune)', '85db497e-4b7d-dd9d-bc09-6d926158ed74']
['Ancre (Neptune) niveau\xa02', 'f7f58211-4a5c-b514-e933-acb5fb77e6b2']
['Fureur de Gaïa', 'f353f65b-4764-cfc5-df01-8db85ab28199']
['Fureur de Gaïa niveau\xa02', '9d399e15-452f-1880-9cc1-c79b04c862fe']
["Forme d'onde", 'f58e7da3-4567-707f-cb1e-3a9add422481']
["Forme d'onde niveau\xa02", 'fe57fe97-4b0b-4a97-3050-2eb0a236f564']
['Obsidienne', '3f5b498c-4ca1-b441-4433-a186e4ae2054']
['Karambit (Champions\xa02021)', '470e2855-4b86-f62d-258f-4588056a7b23']
['Karambit (Champions\xa02021) niveau\xa02', '5f991913-44c1-ba78-9547-5d8de87f04c2']
["Karambit (Champions\xa02021) niveau\xa03 - L'aura n'est active que lorsque le joueur est celui qui a fait le plus de victimes dans la partie.", '250ff684-42e9-108d-4722-a9a3ac8733e6']
['Couteau papillon (Champions\xa02022)', 'ba0abff4-41e4-4036-980d-90a55837b692']
['Couteau papillon (Champions\xa02022) niveau\xa02', '08caa8e3-47a6-e8b9-2411-56ad2182a140']
["Couteau papillon (Champions\xa02022) niveau\xa03 - L'aura n'est active que lorsque le joueur est celui qui a fait le plus de victimes dans la partie.", '781ee669-4036-0481-c1a5-1881df718881']
['Lame en croissant (Origines)', '5f059d7e-413c-445c-e36f-9a9791fba5b0']
['Lame en croissant (Origines) niveau\xa02', '2bca8df3-4e1f-bdd4-9a33-8bbc51c2cfb7']
['Couteau (Attaquant)', '21d49b4a-49ce-79f9-4e08-67959f8d17b5']
['Batte de base-ball (Crise des radiants 001)', '30de237a-4fb3-90f5-3630-65be64d01423']
['Batte de base-ball (Crise des radiants 001) niveau\xa02', '11a7dfd4-4fc9-a806-6b20-fda57c1aa331']
['Couteau (Nébuleuse)', '88d7c503-477f-c881-af2c-53bbab55807c']
['Hack', '4875e120-4d7d-aa2a-71c5-c0851c4af00d']
['Hack & Slash', 'bde59d0e-4ddc-aa88-5c37-50a84673e0ed']
['Dague (Glitchpop)', '48ce4a70-4207-623b-4739-bfb937812432']
['Dague (Glitchpop) niveau 2', '29bd8b5b-4d19-b6af-70c3-4797c0482e1c']
['Hache (Glitchpop)', 'f27623a6-40de-20b9-17b5-c5bed27453a7']
['Hache (Glitchpop) niveau\xa02', '3d6a7e42-4f6b-ee22-fa38-6cb370c93943']
['Terminus A Quo', '96fe45cd-448d-890f-f3f6-86b25516c1a0']
['Terminus A Quo niveau\xa02', '4840c1fc-4570-d487-1dff-68977a0d6e67']
['Caeruleus', '901425cd-405a-d189-3516-ba954965e559']
['Lame du Chaos', 'd6b75f1b-409b-bae9-d378-d3adf04a3ca9']
['Lame du chaos niveau\xa02', '02f5a8ee-4f2f-cc11-f59c-a0bf0c488ee6']
['Dague (Feu ancien)', 'f3594bcc-43a9-4a74-8c40-98a4e4a4569a']
['Dague (Feu ancien) niveau 2', 'ef028ac5-40a2-bc8e-582b-c4abf4ed0ef3']
['Couteau (Singularité)', 'ea441610-42da-e46f-8d7b-1b9759c105cd']
['Couteau (Singularité) niveau\xa02', '34cdb942-4829-edbf-63ce-bfb3d993bdd1']
['Lame de Serket', 'ed0080a9-4d77-d279-5a5c-f2bdb630307d']
['Lame de Serket niveau\xa02', 'a58b52ec-454d-1222-289b-6398e704c18f']
['Chantacier', 'e701b267-43bb-7862-cebb-9695590b68ac']
['Épée (Collectif)', '1dc43c70-4dec-a8e6-e9fa-cda0033cc041']
['Couteau (Venturi)', '63991095-4963-33ba-339f-50b69eb88fe1']
['Dague de cérémonie (Exilé)', '5fecfd43-4bec-4e6a-842c-84860853df82']
['Dague de cérémonie (Exilé) niveau\xa02', 'a4d6c040-49cb-bb04-b9c1-879d0037132c']
['Karambit (Vélocité)', 'c01062ab-48ed-11a2-46bb-dba096daca59']
['Dague (Vestiges)', '726b77c9-41c3-80c6-f33e-068b9f74ef56']
['Mêlée (.SYS)', '9d9ec56d-4973-3531-64f5-6d8eb2beb0a2']
["Faux (Faucheur d'âmes)", '656c5de8-47ca-4eeb-6051-c9aabbf37baa']
["Faux (Faucheur d'âmes) niveau\xa02", '67761e2f-4ce9-edd9-683f-1fa1ab5d5761']
['Hache (Primordial)', '249b0e46-4a11-f045-51bb-649151cd802a']
['Hache (Primordial) niveau 2', 'df1ace24-4acb-e615-24eb-6e95b7e44dc5']
['Karambit (Primordial//2.0)', '167481de-4732-b44a-06ad-938625015abe']
['Karambit (Primordial//2.0) niveau\xa02', 'a3c2dd26-4705-8e42-cce1-6bae0236ac7a']
['Mêlée (Avant-poste)', '3a1ec58c-4380-0622-7fde-c1936519fcf2']
['Couteau (Prisme)', '7cf3af0b-4556-a0db-2e04-eea4368b354b']
['Hache (Prisme\xa0III)', '56f387f3-4b88-46b0-ee0d-249145f05d26']
['Lame brisée du Roi déchu', 'e94012b1-4a22-63d2-117e-90a2c1375ded']
['Lame du Roi déchu', 'd0b5fbd7-43ef-d2bc-80ca-66b23c7a1d47']
['Couteau (Kingdom)', '8c2e0f93-4277-fbb8-20c6-e2b2638b6ed4']
['Lame K/TAC', 'a17e9fcc-4081-9b5a-cf63-fca395e652df']
['Equilibrium', 'ef67d6cb-4f7f-28ce-2973-cf90a97ae54d']
['Equilibrium niveau\xa02', '99a21016-41bf-2dfe-43e6-6f9ffe50d8c0']
['Couteau (Châtiment)', 'b6768f01-4d72-f0f1-65b5-71b751536490']
['Catrina', 'dc5e3cfc-466a-4819-e93b-2ba5f1847915']
['Lame (Épine iridienne)', '9464eca6-4ba2-adaa-a57a-d78eb0b38696']
['Éventail (Céleste)', '7302d465-46cd-2a43-655f-93aee59030db']
['Éventail (Céleste) niveau\xa02', 'ee4add11-4b78-250e-742a-fcbeca66ab05']
['Couteau (Deluxe)', 'e57317ac-4a93-50a9-30e9-93a098513fa9']
['Électrolame (Magepunk)', 'c1326ee3-47af-d823-6686-618e1bcdf0c6']
['Électrolame (Magepunk) niveau\xa02', 'aec017e4-4500-acbf-56a5-b58ba2028e53']
['Électrogantelet (Magepunk)', 'c5ec6a47-40c2-66ed-d546-5bad1eef6fd5']
['Électrogantelet (Magepunk) niveau\xa02', '4379ef43-451a-a1eb-7c69-919abaff068b']
['Dague (Zircocarbone)', 'd6e93360-46a2-0103-afa0-8b91e78b6fe8']
['Marteau (Bête incandescente)', '5a27fbea-4f1d-62f9-8e5f-f494b4f0d322']
['Marteau (Bête incandescente) niveau 2', 'ba4bb49f-4494-4698-8d5f-e5952c92604b']
['Arc (Genèse)', 'a080b538-4593-b092-d29c-04b80e6e983f']
["Épée d'énergie (Ion)", '21ceb4b1-480f-dddb-1422-8aad73519181']
["Épée d'énergie (Ion) niveau 2", '24a079a6-4194-0008-bd1c-a980889bb912']
['Karambit (Ion)', 'a45e899f-459d-469b-dc8f-8da5c0546bf0']
['Karambit (Ion) niveau\xa02', '4b418533-4b77-c755-e471-79902c74928b']
['Griffes (Oni)', 'e34039b6-441d-3e17-2773-bdaf5c3d2faa']
['Griffes (Oni) niveau 2', '444af7a1-46d4-6139-a4b4-66b3112bd37b']
['Perceuse à percussion (Cryostase)', '5629ead8-442c-9a31-9622-cd9bf93aec4b']
['Perceuse à percussion (Cryostase) niveau\xa02', '1ffe6891-4900-2431-ba2e-fd8460a86dd1']
['Fleuret (Artisan)', '704a71ab-4b0e-6e03-466e-5b9ca9d987fd']
['Instrument administratif personnel de combat', '47897cd1-49e2-da3f-4a8f-b6a1e84b0dd0']
['Instrument administratif personnel de combat niveau\xa02', 'ba14e527-4dd2-6b91-69a7-03a3395665f8']
['Instrument administratif personnel de combat niveau\xa03 - La langue du doublage peut différer dans votre région', '692e49fb-4a3e-6991-8e58-838498758939']
['Descente de Luna', '278e57d8-4abd-57b9-394b-abb8b48c1cd3']
['Descente de Luna niveau\xa02', 'cbd9f020-4ee9-d9a5-d57a-9f9f9166717c']
['Skin favori aléatoire', '059c9307-4d19-00f3-c0e5-49b8bc66bd40']
["Matraque (Neuroblaster d'uranium gravitationnel)", '3710f62c-4e0c-65fd-848d-8da25d2fb833']
["Matraque (Neuroblaster d'uranium gravitationnel) niveau 2", '7ef7ed92-463e-2e0c-859f-b88de57f2fb4']
['Baguette (Chute de neige)', '155ba654-4afa-1029-9e71-e0b6962d5410']
['Relique de la Sentinelle', '315e8e49-4dc4-9769-2382-3ba5f7af87da']
['Relique de la Sentinelle niveau\xa02', '19a14e33-4597-412e-ed84-489113968a58']
['Couteau (Pilleur)', 'd7a02a43-47a5-556c-a69f-ec9cf6ede66d']
['Couteau (Pilleur) niveau 2', '20f6764c-4561-0152-e8a1-e2a75deb1872']
['Karambit (Pilleur)', '5ac106cd-45ef-a26f-2058-f382f20c64db']
['Karambit (Pilleur) niveau\xa02', '84d08ce6-468c-b95b-9bbb-408dcdcee76f']
['Épée (Royal)', '90fe45d6-41ea-1c49-8fb9-46b0e98c0077']
['Épée (Royal) niveau 2', '5e7f5d27-46ca-abd5-72d8-ecbb413ec217']
['Prospérité', '12dce8f5-42fe-87c6-ef37-8aa4e55f1f64']
['Prospérité et Chute', '5593f2d7-43ce-9c78-16ad-ab9d9330a459']
['Balisong (Reconnaissance)', 'e85cf8b6-467b-bc6c-9013-959383f71b2e']
['Balisong (Reconnaissance) niveau\xa02', '6e6f577b-4a04-07d2-47f3-ec8cd4a684da']
['Massue (Mailles de titan)', '4745ba48-4d62-b01c-9cb9-48848fec9b66']
['Massue (Mailles de titan) niveau\xa02', '9acc22e7-4457-f294-0861-6bbeecb46316']
['Mêlée (Standard)', '854938f3-4532-b300-d9a2-379d987d7469']
['Lame Hu', 'd3a228df-4eb5-09c4-0e32-93b50c9ec842']
['Couteau (Ego)', '5bf17117-4ead-a0a8-2961-288d38985e93']
['Couteau à revêtement KnifeTech (BlastX)', '708abbc6-4579-4452-4293-07ba45e78979']
['Couteau à revêtement KnifeTech (BlastX) niveau\xa02', 'fb180f74-460b-2a63-f3f3-0c9262c73c29']
["Sucre d'orge (Merveilles enneigées)", 'b577585f-4171-19a1-2899-848460de8089']
