['제노헌터 오딘', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['스팅어', '471fc2a5-47a7-5b12-2895-0899117d2f57']
['그리드크래시 스팅어', '0cb2b7e5-465e-7ba6-7329-03be6690a31e']
['심해 스팅어', '6a1cd98a-4248-4b67-8ced-ac9c56fb4630']
['원탭 스팅어', 'ca2f7bc0-4270-7f76-4623-8596a5584d06']
['바니시 스팅어', 'd1e1f521-4c6b-a47d-6c02-f5a5de9dab48']
['태스크포스 809 칼', 'a2a5860a-4a34-8510-e067-93abc9f18e12']
['RGX 11z 프로 검', 'a1762ed3-45bf-2dd5-776f-a18a33171e6f']
['RGX 11z 프로 검 2레벨', 'd67af30b-4b2a-b1e6-3ac2-6aba74b885d4']
['RGX 11z 프로 파이어플라이', '424ed674-47dd-0488-de93-6cb8e13d0b90']
['RGX 11z 프로 파이어플라이 2레벨', '662449ea-4e5e-376a-6482-83b478355047']
['제노헌터 칼', '8e9f610a-41ea-ff48-d102-c7a0e5614c84']
['제노헌터 칼 2레벨', 'ba8b620a-4a51-8ed6-d1a7-cb9a4b3d99bd']
['발로란트 GO! Vol. 1 칼', '6e37a33a-416e-fcc0-ceb8-7784e18fbfe9']
['발로란트 GO! Vol. 1 칼 2레벨', 'ec6b04b8-4cd4-5778-7aa9-269c029d8958']
['요루의 스타일리시 버터플라이 빗', 'ec70c8c8-48db-b2dc-ab7d-1d9410b0cfbf']
['요루의 스타일리시 버터플라이 빗 2레벨', 'da00cdf4-474d-960b-a011-f29d27403ff0']
['아락시스 생물 채취기', '4351b2ed-42a1-4d84-804b-2f8d695e5069']
['아락시스 생물 채취기 2레벨', '0adbfaf4-4cd0-3688-9d37-ffad95bc36b7']
['넵튠 앵커', '85db497e-4b7d-dd9d-bc09-6d926158ed74']
['넵튠 앵커 2레벨', 'f7f58211-4a5c-b514-e933-acb5fb77e6b2']
['가이아의 분노', 'f353f65b-4764-cfc5-df01-8db85ab28199']
['가이아의 분노 2레벨', '9d399e15-452f-1880-9cc1-c79b04c862fe']
['웨이브폼', 'f58e7da3-4567-707f-cb1e-3a9add422481']
['웨이브폼 2레벨', 'fe57fe97-4b0b-4a97-3050-2eb0a236f564']
['흑요석', '3f5b498c-4ca1-b441-4433-a186e4ae2054']
['2021 챔피언스 카람빗', '470e2855-4b86-f62d-258f-4588056a7b23']
['2021 챔피언스 카람빗 2레벨', '5f991913-44c1-ba78-9547-5d8de87f04c2']
['2021 챔피언스 카람빗 3레벨 - 오오라는 플레이어가 게임에서 최다 킬을 달성했을 때만 활성화됩니다', '250ff684-42e9-108d-4722-a9a3ac8733e6']
['2022 챔피언스 버터플라이 나이프', 'ba0abff4-41e4-4036-980d-90a55837b692']
['2022 챔피언스 버터플라이 나이프 2레벨', '08caa8e3-47a6-e8b9-2411-56ad2182a140']
['2022 챔피언스 버터플라이 나이프 3레벨 - 오오라는 플레이어가 게임에서 최다 킬을 달성했을 때만 활성화됩니다', '781ee669-4036-0481-c1a5-1881df718881']
['오리진 초승달검', '5f059d7e-413c-445c-e36f-9a9791fba5b0']
['오리진 초승달검 2레벨', '2bca8df3-4e1f-bdd4-9a33-8bbc51c2cfb7']
['스트라이커 칼', '21d49b4a-49ce-79f9-4e08-67959f8d17b5']
['레디언트 크라이시스 001 야구 방망이', '30de237a-4fb3-90f5-3630-65be64d01423']
['레디언트 크라이시스 001 야구 방망이 2레벨', '11a7dfd4-4fc9-a806-6b20-fda57c1aa331']
['네뷸라 칼', '88d7c503-477f-c881-af2c-53bbab55807c']
['핵', '4875e120-4d7d-aa2a-71c5-c0851c4af00d']
['핵 앤 슬래시', 'bde59d0e-4ddc-aa88-5c37-50a84673e0ed']
['글리치팝 단검', '48ce4a70-4207-623b-4739-bfb937812432']
['글리치팝 단검 2레벨', '29bd8b5b-4d19-b6af-70c3-4797c0482e1c']
['글리치팝 도끼', 'f27623a6-40de-20b9-17b5-c5bed27453a7']
['글리치팝 도끼 2레벨', '3d6a7e42-4f6b-ee22-fa38-6cb370c93943']
['시작점', '96fe45cd-448d-890f-f3f6-86b25516c1a0']
['시작점 2레벨', '4840c1fc-4570-d487-1dff-68977a0d6e67']
['케룰레우스', '901425cd-405a-d189-3516-ba954965e559']
['혼돈의 칼날', 'd6b75f1b-409b-bae9-d378-d3adf04a3ca9']
['혼돈의 칼날 2레벨', '02f5a8ee-4f2f-cc11-f59c-a0bf0c488ee6']
['엘더플레임 단검', 'f3594bcc-43a9-4a74-8c40-98a4e4a4569a']
['엘더플레임 단검 2레벨', 'ef028ac5-40a2-bc8e-582b-c4abf4ed0ef3']
['싱귤래러티 칼', 'ea441610-42da-e46f-8d7b-1b9759c105cd']
['싱귤래러티 칼 2레벨', '34cdb942-4829-edbf-63ce-bfb3d993bdd1']
['세르케트의 칼날', 'ed0080a9-4d77-d279-5a5c-f2bdb630307d']
['세르케트의 칼날 2레벨', 'a58b52ec-454d-1222-289b-6398e704c18f']
['송스틸', 'e701b267-43bb-7862-cebb-9695590b68ac']
['하이브마인드 검', '1dc43c70-4dec-a8e6-e9fa-cda0033cc041']
['벤투리 칼', '63991095-4963-33ba-339f-50b69eb88fe1']
['포세이큰 의식용 검', '5fecfd43-4bec-4e6a-842c-84860853df82']
['포세이큰 의식용 검 2레벨', 'a4d6c040-49cb-bb04-b9c1-879d0037132c']
['벨로시티 카람빗', 'c01062ab-48ed-11a2-46bb-dba096daca59']
['몰락 단검', '726b77c9-41c3-80c6-f33e-068b9f74ef56']
['.SYS 근접 무기', '9d9ec56d-4973-3531-64f5-6d8eb2beb0a2']
['소울스트라이프 대낫', '656c5de8-47ca-4eeb-6051-c9aabbf37baa']
['소울스트라이프 대낫 2레벨', '67761e2f-4ce9-edd9-683f-1fa1ab5d5761']
['프라임 도끼', '249b0e46-4a11-f045-51bb-649151cd802a']
['프라임 도끼 2레벨', 'df1ace24-4acb-e615-24eb-6e95b7e44dc5']
['프라임//2.0 카람빗', '167481de-4732-b44a-06ad-938625015abe']
['프라임//2.0 카람빗 2레벨', 'a3c2dd26-4705-8e42-cce1-6bae0236ac7a']
['아웃포스트 근접 무기', '3a1ec58c-4380-0622-7fde-c1936519fcf2']
['프리즘 칼', '7cf3af0b-4556-a0db-2e04-eea4368b354b']
['프리즘 III 도끼', '56f387f3-4b88-46b0-ee0d-249145f05d26']
['몰락한 왕의 부러진 검', 'e94012b1-4a22-63d2-117e-90a2c1375ded']
['몰락한 왕의 검', 'd0b5fbd7-43ef-d2bc-80ca-66b23c7a1d47']
['킹덤 칼', '8c2e0f93-4277-fbb8-20c6-e2b2638b6ed4']
['K/TAC 검', 'a17e9fcc-4081-9b5a-cf63-fca395e652df']
['평정', 'ef67d6cb-4f7f-28ce-2973-cf90a97ae54d']
['평정 2레벨', '99a21016-41bf-2dfe-43e6-6f9ffe50d8c0']
['스마이트 칼', 'b6768f01-4d72-f0f1-65b5-71b751536490']
['까뜨리나', 'dc5e3cfc-466a-4819-e93b-2ba5f1847915']
['이리디언 쏜 검', '9464eca6-4ba2-adaa-a57a-d78eb0b38696']
['셀레스티얼 팬', '7302d465-46cd-2a43-655f-93aee59030db']
['셀레스티얼 팬 2레벨', 'ee4add11-4b78-250e-742a-fcbeca66ab05']
['럭스 칼', 'e57317ac-4a93-50a9-30e9-93a098513fa9']
['메이지펑크 일렉트로블레이드', 'c1326ee3-47af-d823-6686-618e1bcdf0c6']
['메이지펑크 일렉트로블레이드 2레벨', 'aec017e4-4500-acbf-56a5-b58ba2028e53']
['메이지펑크 쇼크 건틀릿', 'c5ec6a47-40c2-66ed-d546-5bad1eef6fd5']
['메이지펑크 쇼크 건틀릿 2레벨', '4379ef43-451a-a1eb-7c69-919abaff068b']
['스플라인 단검', 'd6e93360-46a2-0103-afa0-8b91e78b6fe8']
['크림슨비스트 해머', '5a27fbea-4f1d-62f9-8e5f-f494b4f0d322']
['크림슨비스트 해머 2레벨', 'ba4bb49f-4494-4698-8d5f-e5952c92604b']
['제네시스 아크', 'a080b538-4593-b092-d29c-04b80e6e983f']
['아이온 에너지 검', '21ceb4b1-480f-dddb-1422-8aad73519181']
['아이온 에너지 검 2레벨', '24a079a6-4194-0008-bd1c-a980889bb912']
['아이온 카람빗', 'a45e899f-459d-469b-dc8f-8da5c0546bf0']
['아이온 카람빗 2레벨', '4b418533-4b77-c755-e471-79902c74928b']
['도깨비 갈퀴손', 'e34039b6-441d-3e17-2773-bdaf5c3d2faa']
['도깨비 갈퀴손 2레벨', '444af7a1-46d4-6139-a4b4-66b3112bd37b']
['크라이오스테이시스 임팩트 드릴', '5629ead8-442c-9a31-9622-cd9bf93aec4b']
['크라이오스테이시스 임팩트 드릴 2레벨', '1ffe6891-4900-2431-ba2e-fd8460a86dd1']
['장인 플뢰레', '704a71ab-4b0e-6e03-466e-5b9ca9d987fd']
['관리자용 개인 근접 무기 유닛', '47897cd1-49e2-da3f-4a8f-b6a1e84b0dd0']
['관리자용 개인 근접 무기 유닛 2레벨', 'ba14e527-4dd2-6b91-69a7-03a3395665f8']
['관리자용 개인 근접 무기 유닛 3레벨 - 현지화 더빙은 지역에 따라 다를 수 있음', '692e49fb-4a3e-6991-8e58-838498758939']
['달빛 추락', '278e57d8-4abd-57b9-394b-abb8b48c1cd3']
['달빛 추락 2레벨', 'cbd9f020-4ee9-d9a5-d57a-9f9f9166717c']
['무작위 즐겨찾기 스킨', '059c9307-4d19-00f3-c0e5-49b8bc66bd40']
['중력 우라늄 뉴로블래스터 단봉', '3710f62c-4e0c-65fd-848d-8da25d2fb833']
['중력 우라늄 뉴로블래스터 단봉 2레벨', '7ef7ed92-463e-2e0c-859f-b88de57f2fb4']
['스노우폴 지팡이', '155ba654-4afa-1029-9e71-e0b6962d5410']
['감시자의 유물', '315e8e49-4dc4-9769-2382-3ba5f7af87da']
['감시자의 유물 2레벨', '19a14e33-4597-412e-ed84-489113968a58']
['약탈자 나이프', 'd7a02a43-47a5-556c-a69f-ec9cf6ede66d']
['약탈자 나이프 2레벨', '20f6764c-4561-0152-e8a1-e2a75deb1872']
['약탈자 카람빗', '5ac106cd-45ef-a26f-2058-f382f20c64db']
['약탈자 카람빗 2레벨', '84d08ce6-468c-b95b-9bbb-408dcdcee76f']
['소버린 검', '90fe45d6-41ea-1c49-8fb9-46b0e98c0077']
['소버린 검 2레벨', '5e7f5d27-46ca-abd5-72d8-ecbb413ec217']
['번영검', '12dce8f5-42fe-87c6-ef37-8aa4e55f1f64']
['번영검 & 종말검', '5593f2d7-43ce-9c78-16ad-ab9d9330a459']
['정찰 발리송', 'e85cf8b6-467b-bc6c-9013-959383f71b2e']
['정찰 발리송 2레벨', '6e6f577b-4a04-07d2-47f3-ec8cd4a684da']
['티탄메일 메이스', '4745ba48-4d62-b01c-9cb9-48848fec9b66']
['티탄메일 메이스 2레벨', '9acc22e7-4457-f294-0861-6bbeecb46316']
['기본 근접 무기', '854938f3-4532-b300-d9a2-379d987d7469']
['티그리스 검', 'd3a228df-4eb5-09c4-0e32-93b50c9ec842']
['원탭 칼', '5bf17117-4ead-a0a8-2961-288d38985e93']
['블라스트X 폴리머 나이프테크 코팅 나이프', '708abbc6-4579-4452-4293-07ba45e78979']
['블라스트X 폴리머 나이프테크 코팅 나이프 2레벨', 'fb180f74-460b-2a63-f3f3-0c9262c73c29']
['윈터원더랜드 지팡이 사탕', 'b577585f-4171-19a1-2899-848460de8089']
