['Xenohunter Odin', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['Champions 2021 Karambit Level 2', '5f991913-44c1-ba78-9547-5d8de87f04c2']
['Champions 2021 Karambit Level 3 - Aura aktif hanya saat pemain memiliki kill terbanyak di game', '250ff684-42e9-108d-4722-a9a3ac8733e6']
['Knife Butterfly Champions 2022', 'ba0abff4-41e4-4036-980d-90a55837b692']
['Knife Butterfly Champions 2022 Level 2', '08caa8e3-47a6-e8b9-2411-56ad2182a140']
['Knife Butterfly Champions 2022 Level 3 - Aura aktif hanya saat pemain memiliki kill terbanyak di game', '781ee669-4036-0481-c1a5-1881df718881']
['Origin Crescent Blade', '5f059d7e-413c-445c-e36f-9a9791fba5b0']
['Origin Crescent Blade Level 2', '2bca8df3-4e1f-bdd4-9a33-8bbc51c2cfb7']
['Striker Knife', '21d49b4a-49ce-79f9-4e08-67959f8d17b5']
['Radiant Crisis 001 Baseball Bat', '30de237a-4fb3-90f5-3630-65be64d01423']
['Radiant Crisis 001 Baseball Bat Level 2', '11a7dfd4-4fc9-a806-6b20-fda57c1aa331']
['Nebula Knife', '88d7c503-477f-c881-af2c-53bbab55807c']
['Hack', '4875e120-4d7d-aa2a-71c5-c0851c4af00d']
['Hack & Slash', 'bde59d0e-4ddc-aa88-5c37-50a84673e0ed']
['Glitchpop Dagger', '48ce4a70-4207-623b-4739-bfb937812432']
['Glitchpop Dagger Level 2', '29bd8b5b-4d19-b6af-70c3-4797c0482e1c']
['Glitchpop Axe', 'f27623a6-40de-20b9-17b5-c5bed27453a7']
['Glitchpop Axe Level 2', '3d6a7e42-4f6b-ee22-fa38-6cb370c93943']
['Terminus A Quo', '96fe45cd-448d-890f-f3f6-86b25516c1a0']
['Terminus A Quo Level 2', '4840c1fc-4570-d487-1dff-68977a0d6e67']
['Caeruleus', '901425cd-405a-d189-3516-ba954965e559']
['Blade of Chaos', 'd6b75f1b-409b-bae9-d378-d3adf04a3ca9']
['Blade of Chaos Level 2', '02f5a8ee-4f2f-cc11-f59c-a0bf0c488ee6']
['Elderflame Dagger', 'f3594bcc-43a9-4a74-8c40-98a4e4a4569a']
['Elderflame Dagger Level 2', 'ef028ac5-40a2-bc8e-582b-c4abf4ed0ef3']
['Singularity Knife', 'ea441610-42da-e46f-8d7b-1b9759c105cd']
['Singularity Knife Level 2', '34cdb942-4829-edbf-63ce-bfb3d993bdd1']
['Blade of Serket', 'ed0080a9-4d77-d279-5a5c-f2bdb630307d']
['Blade of Serket Level 2', 'a58b52ec-454d-1222-289b-6398e704c18f']
['Songsteel', 'e701b267-43bb-7862-cebb-9695590b68ac']
['Hivemind Sword', '1dc43c70-4dec-a8e6-e9fa-cda0033cc041']
['Venturi Knife', '63991095-4963-33ba-339f-50b69eb88fe1']
['Forsaken Ritual Blade', '5fecfd43-4bec-4e6a-842c-84860853df82']
['Forsaken Ritual Blade Level 2', 'a4d6c040-49cb-bb04-b9c1-879d0037132c']
['Velocity Karambit', 'c01062ab-48ed-11a2-46bb-dba096daca59']
['Ruin Dagger', '726b77c9-41c3-80c6-f33e-068b9f74ef56']
['.SYS Melee', '9d9ec56d-4973-3531-64f5-6d8eb2beb0a2']
['Soulstrife Scythe', '656c5de8-47ca-4eeb-6051-c9aabbf37baa']
['Soulstrife Scythe Level 2', '67761e2f-4ce9-edd9-683f-1fa1ab5d5761']
['Prime Axe', '249b0e46-4a11-f045-51bb-649151cd802a']
['Prime Axe Level 2', 'df1ace24-4acb-e615-24eb-6e95b7e44dc5']
['Prime//2.0 Karambit', '167481de-4732-b44a-06ad-938625015abe']
['Prime//2.0 Karambit Level 2', 'a3c2dd26-4705-8e42-cce1-6bae0236ac7a']
['Outpost Melee', '3a1ec58c-4380-0622-7fde-c1936519fcf2']
['Prism Knife', '7cf3af0b-4556-a0db-2e04-eea4368b354b']
['Prism III Axe', '56f387f3-4b88-46b0-ee0d-249145f05d26']
['Broken Blade of the Ruined King', 'e94012b1-4a22-63d2-117e-90a2c1375ded']
['Blade of the Ruined King', 'd0b5fbd7-43ef-d2bc-80ca-66b23c7a1d47']
['Kingdom Knife', '8c2e0f93-4277-fbb8-20c6-e2b2638b6ed4']
['K/TAC Blade', 'a17e9fcc-4081-9b5a-cf63-fca395e652df']
['Equilibrium', 'ef67d6cb-4f7f-28ce-2973-cf90a97ae54d']
['Equilibrium Level 2', '99a21016-41bf-2dfe-43e6-6f9ffe50d8c0']
['Smite Knife', 'b6768f01-4d72-f0f1-65b5-71b751536490']
['Catrina', 'dc5e3cfc-466a-4819-e93b-2ba5f1847915']
['Iridian Thorn Blade', '9464eca6-4ba2-adaa-a57a-d78eb0b38696']
['Celestial Fan', '7302d465-46cd-2a43-655f-93aee59030db']
['Celestial Fan Level 2', 'ee4add11-4b78-250e-742a-fcbeca66ab05']
['Luxe Knife', 'e57317ac-4a93-50a9-30e9-93a098513fa9']
['Magepunk Electroblade', 'c1326ee3-47af-d823-6686-618e1bcdf0c6']
['Magepunk Electroblade Level 2', 'aec017e4-4500-acbf-56a5-b58ba2028e53']
['Magepunk Shock Gauntlet', 'c5ec6a47-40c2-66ed-d546-5bad1eef6fd5']
['Magepunk Shock Gauntlet Level 2', '4379ef43-451a-a1eb-7c69-919abaff068b']
['Spline Dagger', 'd6e93360-46a2-0103-afa0-8b91e78b6fe8']
['Crimsonbeast Hammer', '5a27fbea-4f1d-62f9-8e5f-f494b4f0d322']
['Crimsonbeast Hammer Level 2', 'ba4bb49f-4494-4698-8d5f-e5952c92604b']
['Genesis Arc', 'a080b538-4593-b092-d29c-04b80e6e983f']
['Ion Energy Sword', '21ceb4b1-480f-dddb-1422-8aad73519181']
['Ion Energy Sword Level 2', '24a079a6-4194-0008-bd1c-a980889bb912']
['Ion Karambit', 'a45e899f-459d-469b-dc8f-8da5c0546bf0']
['Ion Karambit Level 2', '4b418533-4b77-c755-e471-79902c74928b']
['Oni Claw', 'e34039b6-441d-3e17-2773-bdaf5c3d2faa']
['Oni Claw Level 2', '444af7a1-46d4-6139-a4b4-66b3112bd37b']
['Cryostasis Impact Drill', '5629ead8-442c-9a31-9622-cd9bf93aec4b']
['Cryostasis Impact Drill Level 2', '1ffe6891-4900-2431-ba2e-fd8460a86dd1']
['Artisan Foil', '704a71ab-4b0e-6e03-466e-5b9ca9d987fd']
['Personal Administrative Melee Unit', '47897cd1-49e2-da3f-4a8f-b6a1e84b0dd0']
['Personal Administrative Melee Unit Level 2', 'ba14e527-4dd2-6b91-69a7-03a3395665f8']
['Personal Administrative Melee Unit Level 3 - Pelokalan voiceover mungkin berbeda di wilayahmu', '692e49fb-4a3e-6991-8e58-838498758939']
["Luna's Descent", '278e57d8-4abd-57b9-394b-abb8b48c1cd3']
["Luna's Descent Level 2", 'cbd9f020-4ee9-d9a5-d57a-9f9f9166717c']
['Skin Favorit Acak', '059c9307-4d19-00f3-c0e5-49b8bc66bd40']
['Gravitational Uranium Neuroblaster Baton', '3710f62c-4e0c-65fd-848d-8da25d2fb833']
['Gravitational Uranium Neuroblaster Baton Level 2', '7ef7ed92-463e-2e0c-859f-b88de57f2fb4']
['Snowfall Wand', '155ba654-4afa-1029-9e71-e0b6962d5410']
['Relic of the Sentinel', '315e8e49-4dc4-9769-2382-3ba5f7af87da']
['Relic of the Sentinel Level 2', '19a14e33-4597-412e-ed84-489113968a58']
['Reaver Knife', 'd7a02a43-47a5-556c-a69f-ec9cf6ede66d']
['Reaver Knife Level 2', '20f6764c-4561-0152-e8a1-e2a75deb1872']
['Reaver Karambit', '5ac106cd-45ef-a26f-2058-f382f20c64db']
['Reaver Karambit Level 2', '84d08ce6-468c-b95b-9bbb-408dcdcee76f']
['Sovereign Sword', '90fe45d6-41ea-1c49-8fb9-46b0e98c0077']
['Sovereign Sword Level 2', '5e7f5d27-46ca-abd5-72d8-ecbb413ec217']
['Prosperity', '12dce8f5-42fe-87c6-ef37-8aa4e55f1f64']
['Prosperity & Demise', '5593f2d7-43ce-9c78-16ad-ab9d9330a459']
['Recon Balisong', 'e85cf8b6-467b-bc6c-9013-959383f71b2e']
['Recon Balisong Level 2', '6e6f577b-4a04-07d2-47f3-ec8cd4a684da']
['Titanmail Mace', '4745ba48-4d62-b01c-9cb9-48848fec9b66']
['Titanmail Mace Level 2', '9acc22e7-4457-f294-0861-6bbeecb46316']
['Melee Standar', '854938f3-4532-b300-d9a2-379d987d7469']
['Hu Else', 'd3a228df-4eb5-09c4-0e32-93b50c9ec842']
['Ego Knife', '5bf17117-4ead-a0a8-2961-288d38985e93']
['BlastX Polymer KnifeTech Coated Knife', '708abbc6-4579-4452-4293-07ba45e78979']
['BlastX Polymer KnifeTech Coated Knife Level 2', 'fb180f74-460b-2a63-f3f3-0c9262c73c29']
['Winterwunderland Candy Cane', 'b577585f-4171-19a1-2899-848460de8089']
