['Odin Xenohunter', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['Spectre Giao Ước 781-A Cấp 5 - Phần lồng tiếng được bản địa hóa có thể khác biệt tại khu vực của bạn', 'f2339f96-4693-b27d-6e3c-5ba10cf3f6bf']
['Spectre Dạ Nguyệt', '83e4f68e-43eb-76f0-46f9-a8a5bd10382f']
['Skin Yêu Thích Ngẫu Nhiên', '3f14aff8-480e-335a-974f-2ba1817de303']
['Spectre Siêu Phóng Xạ', '8a1b2c5b-4692-78ae-9d5c-cdac6a61e4f4']
['Spectre Siêu Phóng Xạ Cấp 2', '984fa47b-4c3f-cb2a-3fdb-098e342a52f3']
['Spectre Cưỡng Đoạt', '0a0237d3-4d57-0ed2-ab65-c898a7bc755b']
['Spectre Cưỡng Đoạt Cấp 2', '3c7e7ebd-4b7f-f475-d714-47a52a116c82']
['Spectre Cưỡng Đoạt Cấp 3', '88257dda-4c34-f3ca-4495-d6b9ebd6ddbf']
['Spectre Cưỡng Đoạt Cấp 4', 'a8849563-498e-d080-85df-df891c878566']
['Spectre Trinh Sát', '613dd54a-4068-0fab-7670-bf8268a9b76b']
['Spectre Trinh Sát Cấp 2', '2006e869-4d76-294f-c0a1-b3b2f27a4dc2']
['Spectre Trinh Sát Cấp 3', 'dce5c9c1-4a73-659c-1fb9-96974974b151']
['Spectre Trinh Sát Cấp 4', '5171a955-44db-5312-7d62-1398ef5c01cb']
['Spectre Vô Cực', '52907a7c-4570-10d9-d2eb-8991bcfeb2ae']
['Spectre', '1dc45e18-4a07-c85f-0020-6da4db1486ce']
['Spectre Kim Hổ', 'e041ba88-452e-d907-1a83-f6b7631cd053']
['Spectre Cánh Cung', 'fbe265cf-4e3d-9891-791e-5089f1f7f102']
['Spectre BlastX', 'fdcb9cc0-4877-6f89-02ad-98ab330f3043']
['Spectre BlastX Cấp 2', 'aa524ab2-4a87-81c1-2b07-ba8a5431ad0c']
['Spectre BlastX Cấp 3', '2ece0224-4527-7b27-a7e4-b3bf5cef9532']
['Spectre BlastX Cấp 4', 'db5e997e-4c4f-baac-3e84-5fafe19c97f2']
['Spectre Vùng Đất Hoang Tàn', 'a83ac09d-4c19-fda6-8e4d-c1b77dc2b479']
['Stinger Trường Tồn', '40243b02-4a32-d406-6b40-bc99e8a6fde2']
['Stinger RGX 11z Pro', '4dbeebb2-4b39-8aec-b639-00bc4948d0f3']
['Stinger RGX 11z Pro Cấp 2', 'd9b56b1b-42b7-10bf-caf6-d594861916a9']
['Stinger RGX 11z Pro Cấp 3', '0d146d58-43be-7cfc-d1f6-cb8441bf5c83']
['Stinger RGX 11z Pro Cấp 4', '6a538b3d-4a6c-933d-6b01-d0a20b8ab5bb']
['Stinger RGX 11z Pro Cấp 5', '7dd59c7b-4ca4-1638-4a10-cb998d6b84c8']
['Stinger Quý Tộc', 'df37b069-48b2-0a7c-78ea-5b8eedc684f7']
['Stinger Báo Động Đỏ', 'cd9beda3-4042-d79e-6d46-4daa61484362']
['Stinger Vũ Trụ Sơ Khai', '5611fa1c-45bb-6c46-73cd-209031e72524']
['Stinger Vũ Trụ Sơ Khai Cấp 2', 'a8e8fc20-498e-b869-3858-d3802af9c4b8']
['Stinger Vũ Trụ Sơ Khai Cấp 3', '281add0f-4b05-aa0e-0d98-e491d72b0a1f']
['Stinger Vũ Trụ Sơ Khai Cấp 4', '9bbb7ff3-4681-f961-a880-819fa2fd813a']
['Stinger Phác Họa', '0a6790a2-4ddf-56aa-26e4-44b45d050060']
['Stinger Phác Họa Cấp 2', '082de448-49d3-d65d-e9c0-17949cd33422']
['Stinger Xung Điện', '77d5c1dc-4dde-539c-3a5a-0a95eecba1e4']
['Stinger Shimmer', '2c6fa705-433a-5f9e-294b-b39eef964b8c']
['Stinger .SYS', '50e072a5-4f30-63a9-6dee-a8b33781269f']
['Stinger Tán Sắc II', 'b5f7b00a-4c4b-a3d5-d2cc-fbb62c482ef6']
['Stinger Sang Trọng', '84a414f6-4fe4-98ff-8d4e-b5866894c436']
['Stinger Thần Rừng', 'd547c575-4572-9d77-42e5-bea022e5f07b']
['Stinger Xúc Cảm', 'fed9c3f3-40a5-da67-4ac9-4683cc5a0eba']
['Skin Yêu Thích Ngẫu Nhiên', 'caea8844-4603-951f-c458-25a04a778bf8']
['Stinger Anh Đào', 'e2c84381-4fa6-29b4-37b9-21bba8ae24bf']
['Stinger Giản Đồ', '0329743b-4ce8-be9f-b531-f4aadc890287']
['Stinger Ma Sói', '7ffbef55-4108-945e-6bc9-7b897f386d1b']
['Stinger Tối Cao', '9bc535dd-4d91-3421-2cd0-7a8fdad3478b']
['Stinger Tối Cao Cấp 2', '1a8d4093-4e8f-dfe8-9412-e3955662f09c']
['Stinger Tối Cao Cấp 3', '5e5fd361-4954-2287-012f-f68f624fc879']
['Stinger Tối Cao Cấp 4', 'b17c1df5-412c-a9bc-fd65-e6afb421b13d']
['Stinger Kiêu Hùng', '7b71fc11-4fa2-c84c-31ec-5eb5c3e3fff3']
['Stinger', '471fc2a5-47a7-5b12-2895-0899117d2f57']
['Stinger Lưới Không Gian', '0cb2b7e5-465e-7ba6-7329-03be6690a31e']
['Stinger Biển Sâu', '6a1cd98a-4248-4b67-8ced-ac9c56fb4630']
['Stinger Tự Cao', 'ca2f7bc0-4270-7f76-4623-8596a5584d06']
['Stinger Gỗ Hạt Dẻ', 'd1e1f521-4c6b-a47d-6c02-f5a5de9dab48']
['Dao Đặc Nhiệm 809', 'a2a5860a-4a34-8510-e067-93abc9f18e12']
['Kiếm RGX 11z Pro', 'a1762ed3-45bf-2dd5-776f-a18a33171e6f']
['Kiếm RGX 11z Pro Cấp 2', 'd67af30b-4b2a-b1e6-3ac2-6aba74b885d4']
['Dao Firefly RGX 11z Pro', '424ed674-47dd-0488-de93-6cb8e13d0b90']
['Dao Firefly RGX 11z Pro Cấp 2', '662449ea-4e5e-376a-6482-83b478355047']
['Dao Xenohunter', '8e9f610a-41ea-ff48-d102-c7a0e5614c84']
['Dao Xenohunter Cấp 2', 'ba8b620a-4a51-8ed6-d1a7-cb9a4b3d99bd']
['Dao Găm VALORANT GO! Vol.1', '6e37a33a-416e-fcc0-ceb8-7784e18fbfe9']
['Dao Găm VALORANT GO! Vol.1 Cấp 2', 'ec6b04b8-4cd4-5778-7aa9-269c029d8958']
['Lược Bướm Siêu Ngầu Của Yoru', 'ec70c8c8-48db-b2dc-ab7d-1d9410b0cfbf']
['Lược Bướm Siêu Ngầu Cấp 2 Của Yoru', 'da00cdf4-474d-960b-a011-f29d27403ff0']
['Vũ Khí Sinh Hóa Araxys', '4351b2ed-42a1-4d84-804b-2f8d695e5069']
['Vũ Khí Sinh Hóa Araxys Cấp 2', '0adbfaf4-4cd0-3688-9d37-ffad95bc36b7']
['Mỏ Neo Hải Vương', '85db497e-4b7d-dd9d-bc09-6d926158ed74']
['Mỏ Neo Hải Vương Cấp 2', 'f7f58211-4a5c-b514-e933-acb5fb77e6b2']
['Gaia Thịnh Nộ', 'f353f65b-4764-cfc5-df01-8db85ab28199']
['Gaia Thịnh Nộ Cấp 2', '9d399e15-452f-1880-9cc1-c79b04c862fe']
['Gươm Waveform', 'f58e7da3-4567-707f-cb1e-3a9add422481']
['Gươm Waveform Cấp 2', 'fe57fe97-4b0b-4a97-3050-2eb0a236f564']
['Obsidiana', '3f5b498c-4ca1-b441-4433-a186e4ae2054']
['Dao Karambit Champions 2021', '470e2855-4b86-f62d-258f-4588056a7b23']
['Dao Karambit Champions 2021 Cấp 2', '5f991913-44c1-ba78-9547-5d8de87f04c2']
['Dao Karambit Champions 2021 Cấp 3 - Hào quang chỉ kích hoạt khi người chơi đạt nhiều mạng hạ gục nhất trong trận đấu', '250ff684-42e9-108d-4722-a9a3ac8733e6']
['Dao Bướm Champions 2022', 'ba0abff4-41e4-4036-980d-90a55837b692']
['Dao Bướm Champions 2022 Cấp 2', '08caa8e3-47a6-e8b9-2411-56ad2182a140']
['Dao Bướm Champions 2022 Cấp 3 - Hào quang chỉ kích hoạt khi người chơi đạt nhiều mạng hạ gục nhất trong trận đấu', '781ee669-4036-0481-c1a5-1881df718881']
['Kiếm Bán Nguyệt Khởi Nguồn', '5f059d7e-413c-445c-e36f-9a9791fba5b0']
['Kiếm Bán Nguyệt Khởi Nguồn Cấp 2', '2bca8df3-4e1f-bdd4-9a33-8bbc51c2cfb7']
['Dao Găm Xuất Kích', '21d49b4a-49ce-79f9-4e08-67959f8d17b5']
['Gậy Bóng Chày Khủng Hoảng Radiant 001', '30de237a-4fb3-90f5-3630-65be64d01423']
['Gậy Bóng Chày Khủng Hoảng Radiant 001 Cấp 2', '11a7dfd4-4fc9-a806-6b20-fda57c1aa331']
['Dao Tinh Vân', '88d7c503-477f-c881-af2c-53bbab55807c']
['Chém', '4875e120-4d7d-aa2a-71c5-c0851c4af00d']
['Chém & Xắt', 'bde59d0e-4ddc-aa88-5c37-50a84673e0ed']
['Dao Găm Glitchpop', '48ce4a70-4207-623b-4739-bfb937812432']
['Dao Găm Glitchpop Cấp 2', '29bd8b5b-4d19-b6af-70c3-4797c0482e1c']
['Rìu Glitchpop', 'f27623a6-40de-20b9-17b5-c5bed27453a7']
['Rìu Glitchpop Cấp 2', '3d6a7e42-4f6b-ee22-fa38-6cb370c93943']
['Terminus A Quo', '96fe45cd-448d-890f-f3f6-86b25516c1a0']
['Terminus A Quo Cấp 2', '4840c1fc-4570-d487-1dff-68977a0d6e67']
['Rìu Vực Thẳm', '901425cd-405a-d189-3516-ba954965e559']
['Gươm Hỗn Mang', 'd6b75f1b-409b-bae9-d378-d3adf04a3ca9']
['Gươm Hỗn Mang Cấp 2', '02f5a8ee-4f2f-cc11-f59c-a0bf0c488ee6']
['Dao Găm Hỏa Thần', 'f3594bcc-43a9-4a74-8c40-98a4e4a4569a']
['Dao Găm Hỏa Thần Cấp 2', 'ef028ac5-40a2-bc8e-582b-c4abf4ed0ef3']
['Dao Dị Biệt', 'ea441610-42da-e46f-8d7b-1b9759c105cd']
['Dao Dị Biệt Cấp 2', '34cdb942-4829-edbf-63ce-bfb3d993bdd1']
['Dao Bọ Cạp', 'ed0080a9-4d77-d279-5a5c-f2bdb630307d']
['Dao Bọ Cạp Cấp 2', 'a58b52ec-454d-1222-289b-6398e704c18f']
['Kim Ca', 'e701b267-43bb-7862-cebb-9695590b68ac']
['Kiếm Nhất Tâm', '1dc43c70-4dec-a8e6-e9fa-cda0033cc041']
['Dao Găm Venturi', '63991095-4963-33ba-339f-50b69eb88fe1']
['Dao Găm Nghi Thức Hoang Tàn', '5fecfd43-4bec-4e6a-842c-84860853df82']
['Dao Găm Nghi Thức Hoang Tàn Cấp 2', 'a4d6c040-49cb-bb04-b9c1-879d0037132c']
['Dao Karambit Tốc Độ', 'c01062ab-48ed-11a2-46bb-dba096daca59']
['Dao Găm Tàn Tích', '726b77c9-41c3-80c6-f33e-068b9f74ef56']
['Vũ Khí Cận Chiến .SYS', '9d9ec56d-4973-3531-64f5-6d8eb2beb0a2']
['Lưỡi Hái Chiến Hồn', '656c5de8-47ca-4eeb-6051-c9aabbf37baa']
['Lưỡi Hái Chiến Hồn Cấp 2', '67761e2f-4ce9-edd9-683f-1fa1ab5d5761']
['Rìu Hoàng Gia', '249b0e46-4a11-f045-51bb-649151cd802a']
['Rìu Hoàng Gia Cấp 2', 'df1ace24-4acb-e615-24eb-6e95b7e44dc5']
['Dao Karambit Hoàng Gia//2.0', '167481de-4732-b44a-06ad-938625015abe']
['Dao Karambit Hoàng Gia//2.0 Cấp 2', 'a3c2dd26-4705-8e42-cce1-6bae0236ac7a']
['Dao Tiền Đồn', '3a1ec58c-4380-0622-7fde-c1936519fcf2']
['Dao Tán Sắc', '7cf3af0b-4556-a0db-2e04-eea4368b354b']
['Rìu Tán Sắc III', '56f387f3-4b88-46b0-ee0d-249145f05d26']
['Tàn Gươm Đại Suy Vong', 'e94012b1-4a22-63d2-117e-90a2c1375ded']
['Gươm Đại Suy Vong', 'd0b5fbd7-43ef-d2bc-80ca-66b23c7a1d47']
['Dao Vương Giả', '8c2e0f93-4277-fbb8-20c6-e2b2638b6ed4']
['Kiếm K/TAC', 'a17e9fcc-4081-9b5a-cf63-fca395e652df']
['Equilibrium', 'ef67d6cb-4f7f-28ce-2973-cf90a97ae54d']
['Equilibrium Cấp 2', '99a21016-41bf-2dfe-43e6-6f9ffe50d8c0']
['Dao Trừng Phạt', 'b6768f01-4d72-f0f1-65b5-71b751536490']
['Catrina', 'dc5e3cfc-466a-4819-e93b-2ba5f1847915']
['Dao Hợp Kim Iridium', '9464eca6-4ba2-adaa-a57a-d78eb0b38696']
['Quạt Thượng Giới', '7302d465-46cd-2a43-655f-93aee59030db']
['Quạt Thượng Giới Cấp 2', 'ee4add11-4b78-250e-742a-fcbeca66ab05']
['Dao Sang Trọng', 'e57317ac-4a93-50a9-30e9-93a098513fa9']
['Dao Điện Magepunk', 'c1326ee3-47af-d823-6686-618e1bcdf0c6']
['Dao Điện Magepunk Cấp 2', 'aec017e4-4500-acbf-56a5-b58ba2028e53']
['Găng Tay Sốc Điện Magepunk', 'c5ec6a47-40c2-66ed-d546-5bad1eef6fd5']
['Găng Tay Sốc Điện Magepunk Cấp 2', '4379ef43-451a-a1eb-7c69-919abaff068b']
['Dao Găm Uốn Lượn', 'd6e93360-46a2-0103-afa0-8b91e78b6fe8']
['Búa Hỏa Ngục', '5a27fbea-4f1d-62f9-8e5f-f494b4f0d322']
['Búa Hỏa Ngục Cấp 2', 'ba4bb49f-4494-4698-8d5f-e5952c92604b']
['Arc Khởi Nguyên', 'a080b538-4593-b092-d29c-04b80e6e983f']
['Gươm Năng Lượng Ion', '21ceb4b1-480f-dddb-1422-8aad73519181']
['Gươm Năng Lượng Ion Cấp 2', '24a079a6-4194-0008-bd1c-a980889bb912']
['Dao Karambit Ion', 'a45e899f-459d-469b-dc8f-8da5c0546bf0']
['Dao Karambit Ion Cấp 2', '4b418533-4b77-c755-e471-79902c74928b']
['Móng Vuốt Oni', 'e34039b6-441d-3e17-2773-bdaf5c3d2faa']
['Móng Vuốt Oni Cấp 2', '444af7a1-46d4-6139-a4b4-66b3112bd37b']
['Máy Khoan Băng Ngục', '5629ead8-442c-9a31-9622-cd9bf93aec4b']
['Máy Khoan Băng Ngục Cấp 2', '1ffe6891-4900-2431-ba2e-fd8460a86dd1']
['Kiếm Nghệ Nhân', '704a71ab-4b0e-6e03-466e-5b9ca9d987fd']
['Giải Pháp Cận Chiến Cá Nhân', '47897cd1-49e2-da3f-4a8f-b6a1e84b0dd0']
['Giải Pháp Cận Chiến Cá Nhân Cấp 2', 'ba14e527-4dd2-6b91-69a7-03a3395665f8']
['Giải Pháp Cận Chiến Cá Nhân Cấp 3 - Phần lồng tiếng được bản địa hóa có thể khác biệt tại khu vực của bạn', '692e49fb-4a3e-6991-8e58-838498758939']
['Dao Găm Dạ Nguyệt', '278e57d8-4abd-57b9-394b-abb8b48c1cd3']
['Dao Găm Dạ Nguyệt Cấp 2', 'cbd9f020-4ee9-d9a5-d57a-9f9f9166717c']
['Skin Yêu Thích Ngẫu Nhiên', '059c9307-4d19-00f3-c0e5-49b8bc66bd40']
['Dùi Cui Siêu Phóng Xạ', '3710f62c-4e0c-65fd-848d-8da25d2fb833']
['Dùi Cui Siêu Phóng Xạ Cấp 2', '7ef7ed92-463e-2e0c-859f-b88de57f2fb4']
['Gậy Phép Tuyết Rơi', '155ba654-4afa-1029-9e71-e0b6962d5410']
['Thần Tích Vệ Binh', '315e8e49-4dc4-9769-2382-3ba5f7af87da']
['Thần Tích Vệ Binh Cấp 2', '19a14e33-4597-412e-ed84-489113968a58']
['Dao Cưỡng Đoạt', 'd7a02a43-47a5-556c-a69f-ec9cf6ede66d']
['Dao Cưỡng Đoạt Cấp 2', '20f6764c-4561-0152-e8a1-e2a75deb1872']
['Dao Karambit Cưỡng Đoạt', '5ac106cd-45ef-a26f-2058-f382f20c64db']
['Dao Karambit Cưỡng Đoạt Cấp 2', '84d08ce6-468c-b95b-9bbb-408dcdcee76f']
['Kiếm Tối Cao', '90fe45d6-41ea-1c49-8fb9-46b0e98c0077']
['Kiếm Tối Cao Cấp 2', '5e7f5d27-46ca-abd5-72d8-ecbb413ec217']
['Thịnh Vượng', '12dce8f5-42fe-87c6-ef37-8aa4e55f1f64']
['Thịnh Vượng & Suy Vong', '5593f2d7-43ce-9c78-16ad-ab9d9330a459']
['Dao Balisong Trinh Sát', 'e85cf8b6-467b-bc6c-9013-959383f71b2e']
['Dao Balisong Trinh Sát Cấp 2', '6e6f577b-4a04-07d2-47f3-ec8cd4a684da']
['Chùy Chiến Giáp', '4745ba48-4d62-b01c-9cb9-48848fec9b66']
['Chùy Chiến Giáp Cấp 2', '9acc22e7-4457-f294-0861-6bbeecb46316']
['Cận Chiến Thông Thường', '854938f3-4532-b300-d9a2-379d987d7469']
['Dao Kim Hổ', 'd3a228df-4eb5-09c4-0e32-93b50c9ec842']
['Dao Tự Cao', '5bf17117-4ead-a0a8-2961-288d38985e93']
['Dao BlastX', '708abbc6-4579-4452-4293-07ba45e78979']
['Dao BlastX Cấp 2', 'fb180f74-460b-2a63-f3f3-0c9262c73c29']
['Kẹo Que Mùa Đông Kỳ Diệu', 'b577585f-4171-19a1-2899-848460de8089']
