['Odin Xenocaçador', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['Vaga-lume RGX 11z Pro', '424ed674-47dd-0488-de93-6cb8e13d0b90']
['Vaga-lume RGX 11z Pro Nível 2', '662449ea-4e5e-376a-6482-83b478355047']
['Faca Xenocaçador', '8e9f610a-41ea-ff48-d102-c7a0e5614c84']
['Faca Xenocaçador Nível 2', 'ba8b620a-4a51-8ed6-d1a7-cb9a4b3d99bd']
['Faca VALORANT GO! Vol. 1', '6e37a33a-416e-fcc0-ceb8-7784e18fbfe9']
['Faca VALORANT GO! Vol. 1 Nível 2', 'ec6b04b8-4cd4-5778-7aa9-269c029d8958']
['Pente-Borboleta Estiloso do Yoru', 'ec70c8c8-48db-b2dc-ab7d-1d9410b0cfbf']
['Pente-Borboleta Estiloso do Yoru Nível 2', 'da00cdf4-474d-960b-a011-f29d27403ff0']
['Biocoletora Araxys', '4351b2ed-42a1-4d84-804b-2f8d695e5069']
['Biocoletora Araxys Nível 2', '0adbfaf4-4cd0-3688-9d37-ffad95bc36b7']
['Âncora Netuno', '85db497e-4b7d-dd9d-bc09-6d926158ed74']
['Âncora Netuno Nível 2', 'f7f58211-4a5c-b514-e933-acb5fb77e6b2']
['Fúria de Gaia', 'f353f65b-4764-cfc5-df01-8db85ab28199']
['Fúria de Gaia Nível 2', '9d399e15-452f-1880-9cc1-c79b04c862fe']
['Ondulação', 'f58e7da3-4567-707f-cb1e-3a9add422481']
['Ondulação Nível 2', 'fe57fe97-4b0b-4a97-3050-2eb0a236f564']
['Obsidiana', '3f5b498c-4ca1-b441-4433-a186e4ae2054']
['Karambit Champions 2021', '470e2855-4b86-f62d-258f-4588056a7b23']
['Karambit Champions 2021 Nível 2', '5f991913-44c1-ba78-9547-5d8de87f04c2']
['Karambit Champions 2021 Nível 3 – Aura ativada apenas quando a pessoa tem a maior quantidade de abates da partida', '250ff684-42e9-108d-4722-a9a3ac8733e6']
['Canivete-Borboleta Champions 2022', 'ba0abff4-41e4-4036-980d-90a55837b692']
['Canivete-Borboleta Champions 2022 Nível 2', '08caa8e3-47a6-e8b9-2411-56ad2182a140']
['Champions 2022: Canivete-Borboleta Nível 3 – A Aura fica ativa apenas quando o jogador tem o maior número de abates da partida', '781ee669-4036-0481-c1a5-1881df718881']
['Lâmina Crescente Origem', '5f059d7e-413c-445c-e36f-9a9791fba5b0']
['Lâmina Crescente Origem Nível 2', '2bca8df3-4e1f-bdd4-9a33-8bbc51c2cfb7']
['Faca Artilheira', '21d49b4a-49ce-79f9-4e08-67959f8d17b5']
['Taco de Beisebol Crise Radiante 001', '30de237a-4fb3-90f5-3630-65be64d01423']
['Taco de Beisebol Crise Radiante 001 Nível 2', '11a7dfd4-4fc9-a806-6b20-fda57c1aa331']
['Faca Nebulosa', '88d7c503-477f-c881-af2c-53bbab55807c']
['Hack', '4875e120-4d7d-aa2a-71c5-c0851c4af00d']
['Hack & Slash', 'bde59d0e-4ddc-aa88-5c37-50a84673e0ed']
['Adaga Glitchpop', '48ce4a70-4207-623b-4739-bfb937812432']
['Adaga Glitchpop Nível 2', '29bd8b5b-4d19-b6af-70c3-4797c0482e1c']
['Machado Glitchpop', 'f27623a6-40de-20b9-17b5-c5bed27453a7']
['Machado Glitchpop Nível 2', '3d6a7e42-4f6b-ee22-fa38-6cb370c93943']
['Terminus A Quo', '96fe45cd-448d-890f-f3f6-86b25516c1a0']
['Terminus A Quo Nível 2', '4840c1fc-4570-d487-1dff-68977a0d6e67']
['Cerúleo', '901425cd-405a-d189-3516-ba954965e559']
['Lâmina do Caos', 'd6b75f1b-409b-bae9-d378-d3adf04a3ca9']
['Lâmina do Caos Nível 2', '02f5a8ee-4f2f-cc11-f59c-a0bf0c488ee6']
['Adaga Ancifogo', 'f3594bcc-43a9-4a74-8c40-98a4e4a4569a']
['Adaga Ancifogo Nível 2', 'ef028ac5-40a2-bc8e-582b-c4abf4ed0ef3']
['Faca Singularidade', 'ea441610-42da-e46f-8d7b-1b9759c105cd']
['Faca Singularidade Nível 2', '34cdb942-4829-edbf-63ce-bfb3d993bdd1']
['Lâmina de Serket', 'ed0080a9-4d77-d279-5a5c-f2bdb630307d']
['Lâmina de Serket Nível 2', 'a58b52ec-454d-1222-289b-6398e704c18f']
['Metalódica', 'e701b267-43bb-7862-cebb-9695590b68ac']
['Espada Colmeia', '1dc43c70-4dec-a8e6-e9fa-cda0033cc041']
['Faca Venturi', '63991095-4963-33ba-339f-50b69eb88fe1']
['Lâmina Cerimonial Lúgubre', '5fecfd43-4bec-4e6a-842c-84860853df82']
['Lâmina Cerimonial Lúgubre Nível 2', 'a4d6c040-49cb-bb04-b9c1-879d0037132c']
['Karambit Velocidade', 'c01062ab-48ed-11a2-46bb-dba096daca59']
['Adaga Delíquio', '726b77c9-41c3-80c6-f33e-068b9f74ef56']
['Confronto .SYS', '9d9ec56d-4973-3531-64f5-6d8eb2beb0a2']
['Foice Ceifador', '656c5de8-47ca-4eeb-6051-c9aabbf37baa']
['Foice Ceifador Nível 2', '67761e2f-4ce9-edd9-683f-1fa1ab5d5761']
['Machado Sublime', '249b0e46-4a11-f045-51bb-649151cd802a']
['Machado Sublime Nível 2', 'df1ace24-4acb-e615-24eb-6e95b7e44dc5']
['Karambit Sublime//2.0', '167481de-4732-b44a-06ad-938625015abe']
['Karambit Sublime//2.0 Nível 2', 'a3c2dd26-4705-8e42-cce1-6bae0236ac7a']
['Confronto Posto Avançado', '3a1ec58c-4380-0622-7fde-c1936519fcf2']
['Faca Prismática', '7cf3af0b-4556-a0db-2e04-eea4368b354b']
['Machado Prismático III', '56f387f3-4b88-46b0-ee0d-249145f05d26']
['Espada do Rei Destruído Quebrada', 'e94012b1-4a22-63d2-117e-90a2c1375ded']
['Espada do Rei Destruído', 'd0b5fbd7-43ef-d2bc-80ca-66b23c7a1d47']
['Faca Kingdom', '8c2e0f93-4277-fbb8-20c6-e2b2638b6ed4']
['Lâmina K/TAC', 'a17e9fcc-4081-9b5a-cf63-fca395e652df']
['Equilibrium', 'ef67d6cb-4f7f-28ce-2973-cf90a97ae54d']
['Equilibrium Nível 2', '99a21016-41bf-2dfe-43e6-6f9ffe50d8c0']
['Faca Relâmpago', 'b6768f01-4d72-f0f1-65b5-71b751536490']
['Catrina', 'dc5e3cfc-466a-4819-e93b-2ba5f1847915']
['Confronto Espinho Iridescente', '9464eca6-4ba2-adaa-a57a-d78eb0b38696']
['Leque Celestial', '7302d465-46cd-2a43-655f-93aee59030db']
['Leque Celestial Nível 2', 'ee4add11-4b78-250e-742a-fcbeca66ab05']
['Faca Luxo', 'e57317ac-4a93-50a9-30e9-93a098513fa9']
['Eletrofaca Magipunk', 'c1326ee3-47af-d823-6686-618e1bcdf0c6']
['Eletrofaca Magipunk Nível 2', 'aec017e4-4500-acbf-56a5-b58ba2028e53']
['Manopla de Choque Magipunk', 'c5ec6a47-40c2-66ed-d546-5bad1eef6fd5']
['Manopla de Choque Magipunk Nível 2', '4379ef43-451a-a1eb-7c69-919abaff068b']
['Adaga Spline', 'd6e93360-46a2-0103-afa0-8b91e78b6fe8']
['Martelo Fera Incendiária', '5a27fbea-4f1d-62f9-8e5f-f494b4f0d322']
['Martelo Fera Incendiária Nível 2', 'ba4bb49f-4494-4698-8d5f-e5952c92604b']
['Arco Gênese', 'a080b538-4593-b092-d29c-04b80e6e983f']
['Espada de Energia Íon', '21ceb4b1-480f-dddb-1422-8aad73519181']
['Espada de Energia Íon Nível 2', '24a079a6-4194-0008-bd1c-a980889bb912']
['Karambit Íon', 'a45e899f-459d-469b-dc8f-8da5c0546bf0']
['Karambit Íon Nível 2', '4b418533-4b77-c755-e471-79902c74928b']
['Garra Oni', 'e34039b6-441d-3e17-2773-bdaf5c3d2faa']
['Garra Oni Nível 2', '444af7a1-46d4-6139-a4b4-66b3112bd37b']
['Martelo Pneumático Criostase', '5629ead8-442c-9a31-9622-cd9bf93aec4b']
['Martelo Pneumático Criostase Nível 2', '1ffe6891-4900-2431-ba2e-fd8460a86dd1']
['Florete Artesã', '704a71ab-4b0e-6e03-466e-5b9ca9d987fd']
['Unidade Administrativa de Defesa Pessoal', '47897cd1-49e2-da3f-4a8f-b6a1e84b0dd0']
['Unidade Administrativa de Defesa Pessoal Nível 2', 'ba14e527-4dd2-6b91-69a7-03a3395665f8']
['Unidade Administrativa de Defesa Pessoal Nível 3 – dublagem localizada pode variar na sua região', '692e49fb-4a3e-6991-8e58-838498758939']
['Lua Poente', '278e57d8-4abd-57b9-394b-abb8b48c1cd3']
['Lua Poente Nível 2', 'cbd9f020-4ee9-d9a5-d57a-9f9f9166717c']
['Skin favorita aleatória', '059c9307-4d19-00f3-c0e5-49b8bc66bd40']
['Bastão Anti-Radio-Matéria Atomizador', '3710f62c-4e0c-65fd-848d-8da25d2fb833']
['Bastão Anti-Radio-Matéria Atomizador Nível 2', '7ef7ed92-463e-2e0c-859f-b88de57f2fb4']
['Varinha Nevada', '155ba654-4afa-1029-9e71-e0b6962d5410']
['Relíquia Sentinela', '315e8e49-4dc4-9769-2382-3ba5f7af87da']
['Relíquia Sentinela Nível 2', '19a14e33-4597-412e-ed84-489113968a58']
['Faca Saqueador', 'd7a02a43-47a5-556c-a69f-ec9cf6ede66d']
['Faca Saqueador Nível 2', '20f6764c-4561-0152-e8a1-e2a75deb1872']
['Karambit Saqueador', '5ac106cd-45ef-a26f-2058-f382f20c64db']
['Karambit Saqueador Nível 2', '84d08ce6-468c-b95b-9bbb-408dcdcee76f']
['Espada Soberania', '90fe45d6-41ea-1c49-8fb9-46b0e98c0077']
['Espada Soberania Nível 2', '5e7f5d27-46ca-abd5-72d8-ecbb413ec217']
['Prosperidade', '12dce8f5-42fe-87c6-ef37-8aa4e55f1f64']
['Prosperidade e Declínio', '5593f2d7-43ce-9c78-16ad-ab9d9330a459']
['Canivete Balisong Reconhecimento', 'e85cf8b6-467b-bc6c-9013-959383f71b2e']
['Canivete Balisong Reconhecimento Nível 2', '6e6f577b-4a04-07d2-47f3-ec8cd4a684da']
['Clava Titânica', '4745ba48-4d62-b01c-9cb9-48848fec9b66']
['Clava Titânica Nível 2', '9acc22e7-4457-f294-0861-6bbeecb46316']
['Confronto Padrão', '854938f3-4532-b300-d9a2-379d987d7469']
['Espada Tigris', 'd3a228df-4eb5-09c4-0e32-93b50c9ec842']
['Faca Ego', '5bf17117-4ead-a0a8-2961-288d38985e93']
['Faca com Polímero KnifeTech BlastX', '708abbc6-4579-4452-4293-07ba45e78979']
['Faca com Polímero KnifeTech BlastX Nível 2', 'fb180f74-460b-2a63-f3f3-0c9262c73c29']
['Bengala Doce Paraíso Invernal', 'b577585f-4171-19a1-2899-848460de8089']
